#{"t_start": 1670703142.1041255, "env_id": "jss-v1"}
r,l,t,episode_makespan
24.505051,697,3.334347,2961
54.0,679,4.193467,2815
-29.636364,693,7.980042,3229
0.262626,683,8.759945,3081
24.30303,664,9.520915,2962
-14.282828,659,10.276153,3153
1.676768,657,13.945923,3074
39.656566,646,14.700014,2886
24.30303,663,15.4774,2962
4.707071,653,19.17079,3059
16.222222,653,19.941764,3002
56.424242,650,20.700615,2803
-4.989899,658,24.451297,3107
9.959596,639,25.200238,3033
81.070707,644,25.955405,2681
7.939394,633,29.66748,3043
74.808081,635,30.411911,2712
38.040404,642,31.162521,2894
70.969697,628,34.82668,2731
18.040404,630,35.552109,2993
8.141414,631,36.275576,3042
47.737374,632,39.95958,2846
28.545455,634,40.703283,2941
39.656566,625,41.433864,2886
-16.10101,632,42.172396,3162
14.808081,619,45.828455,3009
54.0,625,46.563545,2815
74.20202,618,47.288256,2715
-13.676768,617,50.950744,3150
-9.636364,634,51.678753,3130
66.121212,627,52.398852,2755
-17.515152,626,56.243319,3169
33.79798,628,56.98962,2915
64.707071,623,57.730854,2762
42.080808,633,58.486434,2874
61.878788,630,62.369897,2776
45.111111,634,63.12047,2859
27.939394,632,63.894018,2944
16.828283,621,67.791882,2999
50.767677,614,68.5333,2831
46.525253,627,69.27822,2852
60.262626,625,73.220166,2784
30.565657,615,73.965485,2931
46.323232,622,74.706688,2853
8.747475,619,78.677122,3039
41.474747,612,79.42657,2877
62.080808,622,80.167243,2775
54.808081,622,80.912565,2811
19.858586,619,84.978971,2984
78.444444,612,85.708756,2694
8.949495,618,86.446894,3038
23.090909,621,90.538394,2968
43.494949,621,91.278877,2867
23.69697,615,92.014681,2965
32.989899,614,96.049432,2919
12.585859,610,96.77679,3020
48.343434,610,97.504133,2843
24.505051,609,98.231936,2961
26.727273,606,102.30922,2950
40.464646,610,103.036844,2882
23.090909,612,103.765697,2968
2.484848,612,107.850451,3070
-60.545455,613,108.58581,3382
75.212121,608,109.310369,2710
52.585859,610,113.448624,2822
25.919192,617,114.187884,2954
39.050505,610,114.919279,2889
45.111111,616,115.65698,2859
70.565657,609,119.636191,2733
45.313131,608,120.373767,2858
42.080808,609,121.112022,2874
49.757576,613,125.005091,2836
59.656566,618,125.737473,2787
38.242424,619,126.469571,2893
9.353535,612,130.323418,3036
