#{"t_start": 1670426088.9096253, "env_id": "jss-v1"}
r,l,t,episode_makespan
30.686869,674,3.894273,2976
-35.575758,692,5.807566,3304
-26.888889,689,11.553971,3261
32.30303,683,13.184379,2968
49.474747,665,14.769075,2883
0.989899,677,16.370319,3123
11.89899,650,21.879719,3069
57.353535,658,23.378804,2844
19.575758,664,24.938159,3031
42.606061,644,30.473696,2917
50.282828,649,32.09495,2879
44.222222,645,33.558373,2909
51.494949,647,39.003579,2873
40.383838,656,40.672234,2928
45.030303,645,42.167987,2905
65.030303,641,47.602076,2806
72.505051,635,49.054451,2769
20.383838,632,50.621183,3027
2.40404,635,56.132795,3116
84.222222,632,57.647932,2711
20.383838,643,59.225203,3027
73.111111,630,64.693376,2766
55.737374,638,66.334317,2852
47.858586,629,67.985832,2891
73.313131,636,69.522085,2765
75.939394,631,74.813204,2752
50.080808,632,76.414721,2880
41.191919,630,78.069281,2924
68.868687,634,83.510408,2787
108.868687,623,84.997366,2589
29.676768,622,86.609258,2981
69.070707,620,91.966232,2786
30.686869,629,93.565913,2976
37.151515,619,94.980506,2944
52.10101,632,100.351741,2870
50.484848,627,101.799738,2878
53.717172,620,103.232189,2862
58.767677,628,104.784139,2837
59.575758,615,110.067538,2833
66.848485,611,111.540008,2797
60.181818,617,113.051069,2830
71.292929,614,118.493886,2775
50.080808,605,120.149273,2880
42.606061,613,121.612512,2917
73.515152,610,126.950674,2764
14.525253,611,128.421816,3056
61.393939,612,129.804404,2824
75.333333,616,131.191863,2755
65.636364,621,136.322242,2803
75.333333,620,137.804348,2755
86.040404,621,139.395813,2702
24.626263,611,144.704638,3006
45.434343,619,146.106385,2903
66.040404,618,147.552751,2801
34.727273,617,152.904787,2956
73.919192,615,154.35997,2762
54.525253,619,155.87378,2858
96.141414,616,157.418226,2652
64.222222,611,162.764295,2810
49.070707,617,164.289453,2885
46.646465,614,165.690758,2897
91.494949,621,171.121387,2675
67.858586,622,172.608363,2792
44.222222,619,174.107365,2909
102.0,614,179.418927,2623
81.393939,615,180.897091,2725
76.747475,613,182.369188,2748
63.616162,610,183.968335,2813
75.333333,618,189.077236,2755
16.343434,618,190.561314,3047
56.343434,621,191.976265,2849
13.515152,610,197.308197,3061
69.272727,616,198.68929,2785
37.757576,616,200.111667,2941
96.949495,610,205.487712,2648
99.777778,612,206.856823,2634
66.040404,610,208.315238,2801
57.959596,612,209.819173,2841
98.161616,615,215.004106,2642
52.707071,614,216.473924,2867
66.848485,614,217.882891,2797
35.131313,612,223.209841,2954
27.252525,616,224.640075,2993
-2.242424,613,226.051226,3139
42.40404,611,231.344744,2918
65.030303,614,232.72678,2806
93.919192,615,234.121511,2663
26.444444,612,235.550632,2997
49.272727,616,240.908717,2884
84.828283,615,242.285089,2708
88.868687,614,243.675746,2688
74.323232,609,248.996211,2760
91.494949,604,250.39553,2675
66.040404,607,251.87569,2801
61.191919,606,257.22125,2825
79.171717,605,258.709508,2736
69.070707,611,260.390322,2786
68.262626,615,261.886439,2790
31.69697,617,267.157107,2971
79.373737,605,268.530706,2735
24.626263,610,270.015024,3006
43.818182,605,275.348341,2911
60.585859,604,276.795362,2828
53.515152,611,278.290427,2863
62.606061,606,279.8147,2818
41.191919,608,285.2431,2924
50.484848,610,286.692801,2878
55.131313,608,288.228763,2855
18.363636,609,293.698224,3037
23.212121,606,295.073617,3013
43.818182,610,296.459663,2911
64.424242,603,301.833679,2809
74.323232,607,303.212731,2760
85.434343,607,304.659257,2705
17.151515,612,306.143327,3043
50.484848,604,311.423688,2878
58.969697,603,312.796339,2836
19.777778,606,314.196516,3030
22.808081,611,319.551455,3015
84.626263,606,320.941411,2709
38.969697,609,322.313493,2935
70.282828,611,327.684388,2780
36.949495,604,329.044833,2945
38.767677,613,330.464397,2936
77.555556,605,331.849371,2744
89.070707,607,337.144137,2687
54.727273,606,338.499324,2857
26.444444,605,339.850224,2997
44.424242,608,345.200128,2908
61.79798,610,346.606001,2822
71.89899,606,347.978583,2772
62.808081,616,353.424382,2817
85.030303,605,354.827624,2707
67.252525,607,356.240141,2795
77.353535,607,357.705782,2745
89.676768,604,362.957325,2684
56.949495,609,364.401,2846
45.232323,606,365.887724,2904
72.707071,606,371.291899,2768
79.575758,606,372.659942,2734
127.050505,605,374.089851,2499
79.979798,604,375.530516,2732
95.131313,605,380.961396,2657
54.121212,606,382.414032,2860
73.515152,604,383.869788,2764
43.414141,606,389.278636,2913
64.626263,608,390.732031,2808
51.292929,606,392.223776,2874
23.414141,606,397.629909,3012
88.868687,605,398.994902,2688
50.888889,602,400.362873,2876
42.40404,609,401.758945,2918
77.757576,606,407.053238,2743
37.959596,612,408.450494,2940
72.505051,612,409.842466,2769
14.525253,608,415.230209,3056
89.272727,609,416.625372,2686
67.656566,610,418.0197,2793
70.080808,611,423.441915,2781
29.070707,626,424.953165,2984
40.383838,615,426.367095,2928
42.20202,613,427.769655,2919
71.69697,622,433.155477,2773
22.808081,617,434.594752,3015
51.494949,618,436.027146,2873
70.080808,609,441.399979,2781
37.959596,612,442.803271,2940
35.333333,607,444.204403,2953
72.30303,608,449.534754,2770
34.121212,611,450.929771,2959
73.919192,612,452.358935,2762
35.131313,613,453.764592,2954
25.838384,608,459.155193,3000
28.464646,606,460.541028,2987
62.40404,613,461.958884,2819
62.808081,607,467.306511,2817
