#{"t_start": 1670435113.0904953, "env_id": "jss-v1"}
r,l,t,episode_makespan
-18.060606,681,3.980369,3138
35.878788,674,5.921186,2871
28.40404,680,7.722355,2908
24.161616,684,13.325397,2929
34.262626,667,15.06506,2879
-1.090909,671,16.966123,3054
15.878788,673,22.680363,2970
8.0,654,24.088524,3009
51.434343,651,25.42648,2794
-24.323232,648,30.754224,3169
4.969697,663,32.120082,3024
11.232323,651,33.487495,2993
-14.626263,656,38.830959,3121
20.727273,649,40.169987,2946
1.535354,637,41.491063,3041
33.858586,645,46.823076,2881
15.474747,624,48.118076,2972
46.383838,639,49.441033,2819
54.464646,632,54.734359,2779
22.343434,624,56.016094,2938
84.767677,636,57.312265,2629
57.89899,637,62.626711,2762
34.464646,647,64.10888,2878
54.060606,643,65.6216,2781
36.080808,635,67.014801,2870
31.232323,623,72.129441,2894
32.242424,632,73.558262,2889
57.292929,626,74.918498,2765
55.272727,624,79.537319,2775
40.323232,626,80.859916,2849
34.060606,630,82.21826,2880
-18.060606,623,87.145231,3138
76.484848,622,88.429683,2670
37.89899,624,89.758487,2861
26.181818,623,94.738937,2919
-23.313131,617,96.015977,3164
-19.474747,624,97.312947,3145
44.161616,629,98.619308,2830
41.535354,611,103.905488,2843
2.949495,610,105.175996,3034
34.464646,613,106.453024,2878
16.484848,626,111.563837,2967
73.050505,622,112.834532,2687
59.111111,620,114.108866,2756
39.717172,617,119.317269,2852
25.575758,618,120.600354,2922
61.131313,616,121.857331,2746
40.929293,615,123.197318,2846
26.383838,612,128.152662,2918
52.848485,621,129.450564,2787
28.40404,620,130.795256,2908
40.323232,621,135.997616,2849
2.545455,618,137.327358,3036
9.212121,624,138.699967,3003
36.888889,619,144.002149,2866
42.747475,622,145.288306,2837
26.787879,610,146.559282,2916
-28.767677,623,147.844205,3191
38.505051,617,153.11852,2858
38.10101,613,154.405033,2860
45.575758,618,155.69225,2823
61.737374,615,160.969074,2743
14.868687,615,162.246559,2975
26.585859,614,163.526247,2917
71.232323,620,168.838186,2696
35.474747,620,170.239697,2873
43.151515,611,171.665687,2835
4.565657,616,173.032744,3026
55.878788,625,178.06528,2772
58.505051,617,179.437887,2759
49.010101,616,180.788519,2806
52.444444,612,185.559286,2789
60.727273,614,186.912557,2748
38.707071,615,188.242139,2857
39.717172,609,193.082285,2852
29.616162,608,194.435331,2902
32.040404,612,195.774173,2890
38.505051,621,197.05915,2858
