,episode,timesteps,time,reward,makespan,model_id
0,0,681,3.9803783893585205,-18.060606060605846,3138,0
1,1,674,5.921200275421143,35.87878787878769,2871,0
2,2,680,7.722365379333496,28.40404040404036,2908,0
3,3,684,13.325410842895508,24.161616161616145,2929,0
4,4,667,15.065073251724243,34.26262626262634,2879,0
5,5,671,16.966140270233154,-1.0909090909090473,3054,0
6,6,673,22.68037176132202,15.878787878787815,2970,0
7,7,654,24.088531017303467,8.000000000000007,3009,0
8,8,651,25.4264874458313,51.434343434343404,2794,0
9,9,648,30.754230737686157,-24.32323232323237,3169,0
10,10,663,32.120089054107666,4.969696969696974,3024,0
11,11,651,33.48750281333923,11.232323232323136,2993,0
12,12,656,38.83096528053284,-14.626262626262648,3121,0
13,13,649,40.16999387741089,20.727272727272826,2946,0
14,14,637,41.491069078445435,1.5353535353535772,3041,0
15,15,645,46.82308316230774,33.85858585858577,2881,0
16,16,624,48.118083477020264,15.474747474747282,2972,0
17,17,639,49.44104051589966,46.383838383838345,2819,0
18,18,632,54.73436641693115,54.464646464646435,2779,0
19,19,624,56.01610040664673,22.343434343434478,2938,0
20,20,636,57.3122718334198,84.76767676767686,2629,0
21,21,637,62.62671899795532,57.89898989899009,2762,0
22,22,647,64.10889101028442,34.46464646464639,2878,0
23,23,643,65.62161016464233,54.06060606060599,2781,0
24,24,635,67.01481127738953,36.08080808080804,2870,0
25,25,623,72.12945032119751,31.23232323232306,2894,0
26,26,632,73.55827140808105,32.24242424242415,2889,0
27,27,626,74.91850638389587,57.2929292929293,2765,0
28,28,624,79.53732585906982,55.27272727272738,2775,0
29,29,626,80.8599259853363,40.323232323232304,2849,0
30,30,630,82.21826887130737,34.06060606060613,2880,0
31,31,623,87.14523816108704,-18.060606060605895,3138,0
32,32,622,88.42969107627869,76.48484848484841,2670,0
33,33,624,89.75849628448486,37.898989898989896,2861,0
34,34,623,94.7389452457428,26.181818181818308,2919,0
35,35,617,96.01598453521729,-23.313131313131322,3164,0
36,36,624,97.31295371055603,-19.47474747474748,3145,0
37,37,629,98.61931586265564,44.16161616161614,2830,0
38,38,611,103.90549564361572,41.53535353535348,2843,0
39,39,610,105.17600274085999,2.9494949494950786,3034,0
40,40,613,106.45303225517273,34.46464646464648,2878,0
41,41,626,111.5638439655304,16.484848484848417,2967,0
42,42,622,112.83453822135925,73.05050505050495,2687,0
43,43,620,114.10887289047241,59.11111111111123,2756,0
44,44,617,119.31727623939514,39.717171717171745,2852,0
45,45,618,120.60036087036133,25.575757575757724,2922,0
46,46,616,121.85733771324158,61.13131313131315,2746,0
47,47,615,123.19732928276062,40.92929292929288,2846,0
48,48,612,128.15266871452332,26.383838383838405,2918,0
49,49,621,129.45057106018066,52.84848484848486,2787,0
50,50,620,130.79526543617249,28.40404040404044,2908,0
51,51,621,135.99762272834778,40.323232323232375,2849,0
52,52,618,137.32736778259277,2.545454545454602,3036,0
53,53,624,138.6999752521515,9.212121212121136,3003,0
54,54,619,144.00215554237366,36.88888888888878,2866,0
55,55,622,145.28831243515015,42.74747474747458,2837,0
56,56,610,146.55928874015808,26.787878787878945,2916,0
57,57,623,147.84421181678772,-28.767676767676726,3191,0
58,58,617,153.1185269355774,38.505050505050434,2858,0
59,59,613,154.40504002571106,38.101010101010225,2860,0
60,60,618,155.6922562122345,45.57575757575745,2823,0
61,61,615,160.96908020973206,61.737373737373666,2743,0
62,62,615,162.24656558036804,14.868686868686956,2975,0
63,63,614,163.5262541770935,26.58585858585852,2917,0
64,64,620,168.83819389343262,71.23232323232335,2696,0
65,65,620,170.2397062778473,35.474747474747595,2873,0
66,66,611,171.66569662094116,43.151515151515156,2835,0
67,67,616,173.03275561332703,4.565656565656663,3026,0
68,68,625,178.06528687477112,55.878787878787875,2772,0
69,69,617,179.4379005432129,58.50505050505035,2759,0
70,70,616,180.7885284423828,49.01010101010098,2806,0
71,71,612,185.55929350852966,52.444444444444485,2789,0
72,72,614,186.9125669002533,60.727272727272826,2748,0
73,73,615,188.2421474456787,38.70707070707068,2857,0
74,74,609,193.08229207992554,39.71717171717164,2852,0
75,75,608,194.43533992767334,29.61616161616159,2902,0
76,76,612,195.774183511734,32.04040404040407,2890,0
77,77,621,197.05915689468384,38.5050505050507,2858,0
78,78,617,201.70287322998047,63.555555555555536,2734,0
79,79,623,203.0527527332306,-1.8989898989899618,3058,0
80,80,607,204.36730456352234,10.222222222222262,2998,0
81,81,610,209.6787281036377,8.000000000000053,3009,0
82,82,618,210.94066429138184,45.1717171717172,2825,0
83,83,617,212.2116882801056,34.46464646464643,2878,0
84,84,617,217.49684166908264,-0.48484848484851906,3051,0
85,85,611,218.7573823928833,4.161616161616069,3028,0
86,86,624,220.04728245735168,38.90909090909095,2856,0
87,87,618,221.3134229183197,36.08080808080818,2870,0
88,88,612,226.47108936309814,3.7575757575757036,3030,0
89,89,620,227.749666929245,1.939393939394007,3039,0
90,90,608,229.0043408870697,32.4444444444445,2888,0
91,91,607,234.251549243927,27.797979797979778,2911,0
92,92,607,235.520690202713,5.575757575757589,3021,0
93,93,615,236.78854894638062,-39.87878787878782,3246,0
94,94,609,242.05074048042297,44.96969696969707,2826,0
95,95,607,243.30740547180176,21.93939393939402,2940,0
96,96,611,244.57676792144775,51.23232323232314,2795,0
97,97,606,245.83629369735718,38.90909090909093,2856,0
98,98,609,251.09901523590088,27.797979797979885,2911,0
99,99,610,252.36645555496216,10.020202020202031,2999,0
100,100,605,253.6172742843628,33.65656565656559,2882,0
101,101,616,258.89108061790466,26.383838383838455,2918,0
102,102,612,260.17026352882385,15.272727272727487,2973,0
103,103,608,261.43675231933594,37.696969696969724,2862,0
104,104,617,266.7050664424896,20.52525252525246,2947,0
105,105,622,267.97594380378723,-27.757575757575715,3186,0
106,106,609,269.2231960296631,16.68686868686881,2966,0
107,107,608,270.4755654335022,55.07070707070708,2776,0
108,108,617,275.7438077926636,24.161616161616195,2929,0
109,109,606,276.9863588809967,45.979797979798064,2821,0
110,110,611,278.24096965789795,27.393939393939412,2913,0
111,111,610,283.48809456825256,16.68686868686867,2966,0
112,112,610,284.7390410900116,16.686868686868635,2966,0
113,113,608,286.00480008125305,53.2525252525252,2785,0
114,114,613,291.25264143943787,61.13131313131313,2746,0
115,115,602,292.4869828224182,43.3535353535354,2834,0
116,116,610,293.7366659641266,32.24242424242431,2889,0
117,117,607,295.0930688381195,-17.252525252525277,3134,0
118,118,608,300.2496201992035,34.06060606060606,2880,0
119,119,612,301.5103266239166,13.858585858585796,2980,0
120,120,606,302.7526068687439,16.080808080808133,2969,0
121,121,611,308.02896904945374,47.59595959595973,2813,0
122,122,609,309.290424823761,8.40404040404053,3007,0
123,123,605,310.55012798309326,-1.2929292929291811,3055,0
124,124,610,315.7912063598633,34.66666666666677,2877,0
125,125,616,317.05414485931396,7.393939393939444,3012,0
126,126,612,318.30453872680664,41.939393939393916,2841,0
127,127,608,319.55743527412415,39.3131313131313,2854,0
128,128,611,324.80768299102783,49.414141414141326,2804,0
129,129,610,326.0737087726593,42.94949494949492,2836,0
130,130,610,327.33350944519043,50.020202020202134,2801,0
131,131,618,332.5976881980896,20.727272727272677,2946,0
132,132,628,333.88070940971375,31.23232323232334,2894,0
133,133,616,335.13994669914246,11.030303030303143,2994,0
134,134,609,336.4060971736908,37.6969696969697,2862,0
135,135,612,341.6795952320099,42.545454545454554,2838,0
136,136,606,342.9319760799408,35.27272727272736,2874,0
137,137,605,344.18972539901733,20.525252525252515,2947,0
138,138,602,349.44481658935547,58.70707070707081,2758,0
139,139,606,350.68715167045593,33.45454545454554,2883,0
140,140,619,351.9679169654846,9.010101010101023,3004,0
141,141,611,357.24722719192505,53.050505050504945,2786,0
142,142,606,358.50702929496765,57.292929292929195,2765,0
143,143,610,359.7724850177765,32.44444444444455,2888,0
144,144,605,361.0223331451416,20.929292929292842,2945,0
145,145,615,366.316650390625,22.545454545454547,2937,0
146,146,608,367.57820105552673,43.555555555555515,2833,0
147,147,604,368.8302960395813,64.36363636363636,2730,0
148,148,609,374.1126790046692,55.47474747474748,2774,0
149,149,601,375.34731554985046,66.3838383838385,2720,0
150,150,605,376.5962188243866,14.666666666666668,2976,0
151,151,602,381.8472828865051,30.22222222222231,2899,0
152,152,601,383.090980052948,2.1414141414140992,3038,0
153,153,605,384.3539524078369,78.90909090909085,2658,0
154,154,604,385.6037628650665,58.101010101010196,2761,0
155,155,605,390.8741955757141,35.07070707070728,2875,0
156,156,605,392.12791776657104,78.30303030303025,2661,0
157,157,604,393.391232252121,29.21212121212137,2904,0
158,158,602,398.2479131221771,38.90909090909101,2856,0
159,159,601,399.57449769973755,35.2727272727273,2874,0
160,160,603,400.88905358314514,11.232323232323258,2993,0
161,161,602,402.14035987854004,26.989898989899018,2915,0
162,162,613,407.4235339164734,31.03030303030304,2895,0
163,163,603,408.65998339653015,47.59595959595967,2813,0
164,164,603,409.89818692207336,55.07070707070707,2776,0
165,165,606,415.1681876182556,16.08080808080814,2969,0
166,166,607,416.4266686439514,45.57575757575758,2823,0
167,167,604,417.6854467391968,4.767676767676753,3025,0
168,168,603,422.8605942726135,29.21212121212118,2904,0
169,169,604,424.096182346344,63.7575757575758,2733,0
170,170,600,425.32779717445374,46.7878787878788,2817,0
171,171,608,426.5746057033539,50.828282828283044,2797,0
172,172,602,431.82527446746826,61.73737373737373,2743,0
173,173,601,433.055881023407,50.424242424242415,2799,0
174,174,600,434.28923058509827,31.43434343434368,2893,0
175,175,602,439.5470564365387,16.888888888888946,2965,0
176,176,607,440.8033082485199,55.07070707070729,2776,0
177,177,601,442.0534255504608,46.98989898989903,2816,0
178,178,601,443.2989869117737,60.12121212121215,2751,0
179,179,602,448.5637512207031,10.828282828282948,2995,0
180,180,602,449.80842781066895,22.141414141414153,2939,0
181,181,602,451.04688811302185,53.050505050505066,2786,0
182,182,603,456.31392216682434,11.838383838383837,2990,0
183,183,603,457.5799734592438,41.33333333333331,2844,0
184,184,600,458.82639741897583,57.898989898989925,2762,0
185,185,601,463.77237033843994,43.75757575757585,2832,0
186,186,603,465.1339111328125,57.6969696969697,2763,0
187,187,603,466.4692807197571,56.888888888888985,2767,0
188,188,607,467.8170223236084,22.545454545454547,2937,0
189,189,602,472.33327317237854,29.616161616161627,2902,0
190,190,603,473.65451097488403,73.050505050505,2687,0
191,191,602,474.994345664978,26.58585858585868,2917,0
192,192,604,480.19752287864685,52.040404040403956,2791,0
193,193,608,481.51533579826355,90.42424242424246,2601,0
194,194,604,482.8705997467041,56.28282828282833,2770,0
195,195,608,487.8877055644989,42.54545454545456,2838,0
196,196,606,489.1945197582245,78.909090909091,2658,0
197,197,606,490.53788781166077,74.06060606060608,2682,0
198,198,607,491.8558614253998,47.79797979797976,2812,0
199,199,607,496.6010649204254,59.11111111111123,2756,0
200,200,617,497.96915006637573,62.747474747474975,2738,0
201,201,604,499.3205819129944,69.01010101010111,2707,0
202,202,600,504.24085545539856,77.4949494949493,2665,0
203,203,603,505.5457980632782,84.56565656565655,2630,0
204,204,610,506.8996410369873,65.17171717171712,2726,0
205,205,607,508.22764229774475,37.69696969696973,2862,0
206,206,605,513.2750506401062,70.6262626262627,2699,0
207,207,616,514.644008398056,73.85858585858607,2683,0
208,208,606,515.9505529403687,19.313131313131276,2953,0
209,209,616,521.1084852218628,31.83838383838397,2891,0
210,210,604,522.3441288471222,55.676767676767824,2773,0
211,211,602,523.6481652259827,45.97979797979808,2821,0
212,212,603,528.6848978996277,24.36363636363637,2928,0
213,213,603,530.0764448642731,68.00000000000001,2712,0
214,214,605,531.3964030742645,44.96969696969705,2826,0
215,215,608,532.7329828739166,76.48484848484858,2670,0
216,216,606,537.4468410015106,87.19191919191927,2617,0
217,217,607,538.7763431072235,40.32323232323232,2849,0
218,218,605,540.1137659549713,31.83838383838376,2891,0
219,219,614,545.3874361515045,69.818181818182,2703,0
220,220,607,546.6884863376617,57.49494949494938,2764,0
221,221,603,547.9864497184753,78.50505050505065,2660,0
222,222,604,553.0104229450226,50.82828282828281,2797,0
223,223,601,554.3074638843536,75.6767676767676,2674,0
224,224,609,555.6462926864624,84.56565656565647,2630,0
225,225,607,556.9554007053375,35.2727272727273,2874,0
226,226,602,561.8108944892883,37.2929292929293,2864,0
227,227,601,563.0407254695892,41.33333333333333,2844,0
228,228,607,564.2969555854797,65.1717171717173,2726,0
229,229,600,569.2012889385223,73.25252525252536,2686,0
230,230,611,570.5283358097076,24.161616161616205,2929,0
231,231,604,571.8318572044373,26.585858585858567,2917,0
232,232,603,573.0815246105194,84.76767676767689,2629,0
233,233,604,577.6820333003998,65.97979797979795,2722,0
234,234,603,578.9934904575348,50.82828282828278,2797,0
235,235,602,580.3913629055023,65.57575757575766,2724,0
236,236,604,585.1253447532654,92.64646464646455,2590,0
237,237,604,586.4594099521637,5.373737373737397,3022,0
238,238,608,587.779345035553,44.56565656565651,2828,0
239,239,602,592.9830527305603,48.40404040404046,2809,0
240,240,602,594.2236585617065,31.636363636363576,2892,0
241,241,603,595.5549871921539,28.40404040404044,2908,0
242,242,603,596.8588151931763,46.787878787878746,2817,0
243,243,605,602.107958316803,37.292929292929124,2864,0
244,244,604,603.3601253032684,3.5555555555555696,3031,0
