#{"t_start": 1670435087.5449636, "env_id": "jss-v1"}
r,l,t,episode_makespan
21.232323,696,3.066063,2954
-31.89899,709,3.89049,3217
-11.69697,685,7.62662,3117
15.373737,680,8.382228,2983
40.626263,678,9.124339,2858
26.888889,668,12.904513,2926
4.060606,671,13.626081,3039
26.282828,670,14.343151,2929
15.979798,660,15.044429,2980
52.343434,644,18.736278,2800
58.40404,655,19.45127,2770
49.515152,650,20.158117,2814
27.292929,653,23.853151,2924
49.313131,640,24.541159,2815
17.393939,636,25.224739,2973
77.191919,639,28.856124,2677
51.333333,627,29.530879,2805
7.69697,632,30.21213,3021
42.040404,625,33.844415,2851
12.747475,628,34.51306,2996
-19.575758,622,35.177663,3156
-8.060606,628,38.966733,3099
2.848485,620,39.631888,3045
41.232323,620,40.291752,2855
62.646465,631,40.963151,2749
24.868687,619,44.649968,2936
20.626263,621,45.315679,2957
-9.272727,623,45.982726,3105
56.181818,614,49.65932,2781
50.727273,638,50.340312,2808
28.10101,625,51.010001,2920
59.414141,621,54.66478,2765
38.606061,623,55.328723,2868
21.030303,615,55.98691,2955
29.111111,626,56.654007,2915
-0.181818,618,60.367422,3060
-14.727273,613,61.025751,3132
61.434343,626,61.695886,2755
-18.161616,612,65.358878,3149
-3.414141,621,66.021471,3076
73.555556,623,66.68911,2695
8.707071,625,70.314796,3016
10.929293,625,70.984208,3005
-7.858586,626,71.65349,3098
-11.494949,619,75.240754,3116
-5.030303,625,75.917954,3084
33.151515,617,76.577603,2895
24.868687,614,77.23477,2936
19.212121,613,80.857625,2964
35.777778,619,81.518548,2882
75.979798,614,82.177841,2683
3.050505,615,85.832964,3044
25.878788,614,86.490028,2931
-5.030303,613,87.143791,3084
43.050505,616,90.871183,2846
34.767677,611,91.531152,2887
11.535354,619,92.193683,3002
5.070707,615,92.854355,3034
-32.505051,613,96.558693,3220
45.070707,619,97.220529,2836
42.242424,610,97.87414,2850
60.626263,619,101.586069,2759
30.525253,621,102.250928,2908
-8.868687,616,102.912513,3103
23.858586,622,106.661172,2941
-30.080808,625,107.331396,3208
13.555556,613,107.986144,2992
40.424242,621,108.650899,2859
-13.313131,620,112.358715,3125
6.484848,618,113.020093,3027
22.444444,615,113.677659,2948
65.272727,610,117.371796,2736
-13.111111,620,118.033505,3124
28.707071,611,118.684964,2917
34.969697,611,122.39556,2886
-54.727273,609,123.05007,3330
6.484848,612,123.705324,3027
15.575758,615,124.363671,2982
51.939394,621,128.094994,2802
-9.474747,609,128.747305,3106
-11.090909,615,129.40564,3114
18.0,612,133.170722,2970
27.292929,630,133.851583,2924
12.141414,622,134.518064,2999
-1.191919,614,138.126151,3065
36.181818,613,138.785647,2880
37.191919,627,139.460939,2875
-12.30303,617,140.125442,3120
10.121212,622,143.753429,3009
-5.434343,619,144.415284,3086
-15.939394,616,145.073534,3138
-21.59596,627,148.790573,3166
26.282828,618,149.454433,2929
12.949495,620,150.119727,2995
42.848485,621,153.819639,2847
-37.151515,628,154.490882,3243
56.383838,618,155.15168,2780
28.707071,619,155.817461,2917
28.30303,626,159.498785,2919
37.191919,622,160.162511,2875
21.232323,622,160.828266,2954
46.282828,619,164.549543,2830
-16.545455,616,165.210712,3141
0.828283,621,165.876144,3055
-14.727273,619,169.541911,3132
6.888889,614,170.199871,3025
-18.969697,620,170.864163,3153
12.141414,622,174.418753,2999
49.717172,612,175.077538,2813
20.424242,618,175.738344,2958
7.89899,618,176.398474,3020
-37.757576,621,180.072513,3246
34.363636,620,180.737451,2889
-16.747475,616,181.396551,3142
-15.333333,618,185.08667,3135
10.929293,616,185.747056,3005
30.323232,615,186.405226,2909
17.393939,618,190.147484,2973
43.252525,621,190.818579,2845
5.272727,617,191.478322,3033
7.69697,633,192.153829,3021
-3.010101,617,195.801471,3074
51.131313,621,196.467156,2806
-2.0,616,197.128864,3069
4.060606,621,200.742849,3039
31.939394,619,201.404131,2901
16.787879,618,202.064577,2976
-21.393939,618,205.702826,3165
8.707071,610,206.358144,3016
10.525253,608,207.034735,3007
-15.939394,613,207.691537,3138
29.111111,612,211.379574,2915
33.959596,615,212.038572,2891
25.070707,626,212.707407,2935
3.454545,619,216.307637,3042
-14.929293,625,216.979404,3133
11.333333,619,217.642486,3003
45.070707,626,221.378249,2836
-20.181818,617,222.039782,3159
-13.515152,615,222.701116,3126
15.575758,624,223.370613,2982
4.060606,614,227.006788,3039
19.414141,613,227.663312,2963
15.575758,612,228.319155,2982
11.131313,622,231.999733,3004
14.363636,616,232.661282,2988
4.868687,618,233.325234,3035
23.858586,614,237.042868,2941
26.484848,621,237.709684,2928
5.878788,614,238.368527,3030
-8.060606,613,239.026967,3099
-7.454545,611,242.662796,3096
13.353535,616,243.321999,2993
6.686869,614,243.981467,3026
18.808081,615,247.582894,2966
23.252525,616,248.242672,2944
-26.646465,611,248.897529,3191
14.767677,612,252.604672,2986
18.606061,608,253.255639,2967
26.080808,611,253.916406,2930
10.121212,613,254.573708,3009
-0.787879,612,258.298992,3063
-10.686869,611,258.955301,3112
-15.535354,613,259.6129,3136
14.363636,611,263.310396,2988
-15.131313,605,263.958927,3134
36.181818,611,264.612912,2880
36.383838,608,268.349251,2879
17.59596,607,269.001546,2972
-13.717172,607,269.652444,3127
10.929293,606,270.303288,3005
-5.232323,610,273.998955,3085
-15.737374,605,274.647654,3137
-18.565657,607,275.298369,3151
-30.484848,605,278.930772,3210
-2.808081,606,279.580657,3073
29.111111,607,280.230096,2915
8.10101,606,283.952806,3019
-3.616162,604,284.605242,3077
-18.969697,607,285.255758,3153
-30.888889,604,285.905088,3212
32.545455,615,289.571894,2898
29.111111,609,290.225702,2915
-15.131313,608,290.879048,3134
-39.777778,610,294.569754,3256
-11.69697,612,295.228109,3117
-9.474747,606,295.877055,3106
15.171717,615,296.536151,2984
22.040404,609,300.276679,2950
21.838384,612,300.932585,2951
-35.737374,613,301.589305,3236
-1.393939,610,305.298402,3066
29.313131,611,305.952039,2914
-21.191919,609,306.605047,3164
-10.686869,615,310.348248,3112
-39.171717,621,311.012647,3253
-30.282828,613,311.669745,3209
-38.969697,609,312.322465,3252
6.080808,608,316.023144,3029
24.868687,611,316.678363,2936
1.434343,603,317.323515,3052
36.787879,613,321.080355,2877
-49.474747,615,321.74084,3304
-34.727273,612,322.400877,3231
1.838384,610,326.037828,3050
9.919192,611,326.692227,3010
-1.191919,618,327.354925,3065
25.070707,613,328.011171,2935
-40.585859,607,331.721709,3260
-7.656566,606,332.371771,3097
1.232323,604,333.020925,3053
-61.59596,608,336.622649,3364
43.050505,605,337.270696,2846
-17.959596,604,337.919778,3148
-19.777778,605,341.579415,3157
-22.20202,608,342.232669,3169
12.343434,609,342.88453,2998
10.121212,606,343.534974,3009
-13.717172,610,347.217009,3127
20.222222,614,347.874215,2959
15.171717,606,348.523819,2984
-11.292929,610,352.161549,3115
34.565657,609,352.814207,2888
1.636364,602,353.459674,3051
28.707071,611,357.139733,2917
-26.444444,602,357.795957,3190
2.444444,603,358.444314,3047
32.343434,604,359.09338,2899
30.121212,604,362.751533,2910
23.454545,606,363.403439,2943
15.777778,606,364.05344,2981
-26.242424,605,367.800061,3189
8.10101,604,368.447547,3019
-47.454545,603,369.094942,3294
2.848485,601,369.741036,3045
-25.030303,610,373.410279,3183
-41.59596,604,374.064951,3265
20.424242,606,374.715596,2958
31.535354,603,378.428063,2903
-2.606061,604,379.071804,3072
-8.868687,601,379.714012,3103
-4.424242,606,383.323751,3081
29.515152,605,383.975495,2913
-17.555556,601,384.619619,3146
44.262626,601,385.261854,2840
-13.717172,601,388.964353,3127
30.929293,605,389.611127,2906
-0.181818,606,390.260817,3060
18.0,606,394.016433,2970
31.333333,605,394.663213,2904
-37.151515,607,395.312442,3243
-37.555556,603,395.95773,3245
-26.646465,605,399.620365,3191
-19.171717,602,400.263603,3154
-8.868687,604,400.907874,3103
70.525253,602,404.628811,2710
21.838384,609,405.278206,2951
41.838384,603,405.921036,2852
2.646465,603,409.549008,3046
37.79798,601,410.192887,2872
30.727273,603,410.836485,2907
58.40404,608,411.483886,2770
50.727273,605,415.154125,2808
4.868687,604,415.803762,3035
17.79798,602,416.44989,2971
59.616162,601,420.078856,2764
32.949495,604,420.727138,2896
-0.181818,601,421.372325,3060
55.171717,602,422.018477,2786
32.949495,601,425.655411,2896
-27.454545,602,426.301194,3195
8.10101,603,426.948039,3019
11.333333,605,430.699339,3003
46.282828,607,431.349215,2830
29.111111,604,431.99513,2915
27.89899,600,435.623599,2921
40.424242,600,436.268336,2859
38.20202,600,436.912006,2870
23.454545,601,437.556182,2943
63.656566,602,441.247625,2744
24.868687,600,441.892034,2936
49.111111,600,442.534349,2816
50.121212,601,446.276742,2811
46.888889,601,446.931645,2827
57.79798,602,447.574454,2773
26.686869,602,448.217881,2927
9.717172,600,451.892469,3011
-29.474747,601,452.534856,3205
40.626263,600,453.175006,2858
-1.191919,601,456.843712,3065
72.343434,601,457.485458,2701
59.212121,600,458.127212,2766
49.313131,603,461.744513,2815
54.969697,600,462.38668,2787
10.727273,602,463.030649,3006
