#{"t_start": 1670488203.4695556, "env_id": "jss-v1"}
r,l,t,episode_makespan
23.575758,692,3.837887,2949
57.919192,680,5.700485,2779
0.949495,695,11.202034,3061
58.121212,680,12.598804,2778
37.515152,680,14.002727,2880
70.444444,674,19.351755,2717
49.030303,658,20.767326,2823
42.969697,660,22.255589,2853
29.636364,664,23.799675,2919
68.222222,644,28.820479,2728
75.494949,653,30.263862,2692
52.868687,653,31.716403,2804
11.252525,641,36.23234,3010
61.555556,633,37.517546,2761
79.333333,636,38.81304,2673
24.989899,641,43.479252,2942
82.363636,634,44.761202,2658
72.464646,637,46.130491,2707
87.010101,632,51.043895,2635
66.808081,636,52.470934,2735
80.141414,632,53.96501,2669
65.79798,635,59.127019,2740
19.131313,635,60.482097,2971
54.888889,625,61.898091,2794
-0.666667,652,63.225228,3069
52.060606,626,68.456189,2808
45.79798,623,69.736427,2839
38.121212,632,71.030996,2877
86.0,632,76.241858,2640
55.69697,627,77.525392,2790
48.424242,634,78.826473,2826
13.070707,630,84.058606,3001
42.969697,623,85.32511,2853
64.787879,635,86.60837,2745
70.444444,635,91.773459,2717
21.151515,636,93.074457,2961
12.868687,629,94.368031,3002
64.383838,623,95.638984,2747
16.707071,634,100.822899,2983
60.545455,626,102.108342,2766
79.131313,622,103.386611,2674
60.747475,642,108.650415,2765
37.919192,620,109.920318,2878
54.484848,622,111.194462,2796
50.040404,625,116.426114,2818
93.070707,616,117.683434,2605
33.474747,630,118.975663,2900
69.636364,632,124.215972,2721
36.909091,629,125.503505,2883
50.040404,627,126.786796,2818
81.555556,617,128.044391,2662
79.737374,623,133.245574,2671
59.535354,628,134.5179,2771
59.535354,621,135.778196,2771
53.676768,625,140.942964,2800
1.353535,634,142.234952,3059
71.050505,637,143.532532,2714
42.363636,633,148.76548,2856
26.606061,632,150.059458,2934
95.090909,628,151.343579,2595
44.787879,622,152.611983,2844
57.515152,629,157.833277,2781
72.666667,617,159.094217,2706
64.787879,635,160.396036,2745
34.282828,622,165.618174,2896
60.343434,628,166.911517,2767
36.909091,619,168.17836,2883
47.616162,618,173.401956,2830
19.939394,629,174.695292,2967
72.262626,628,175.975956,2708
53.676768,639,181.237706,2800
9.232323,630,182.530343,3020
7.010101,633,183.824435,3031
16.30303,626,185.127412,2985
70.040404,619,190.33186,2719
24.383838,620,191.590534,2945
77.515152,621,192.849669,2682
71.050505,630,198.081882,2714
36.707071,628,199.352502,2884
16.707071,631,200.636058,2983
32.464646,614,205.814611,2905
55.090909,613,207.053877,2793
42.969697,618,208.305676,2853
69.838384,628,213.463613,2720
69.434343,628,214.745387,2722
38.727273,620,216.021046,2874
36.30303,615,217.280106,2886
17.515152,621,222.513798,2979
