,episode,timesteps,time,reward,makespan,model_id
0,0,691,3.9247517585754395,-18.343434343434367,3088,0
1,1,672,5.752358913421631,24.080808080807984,2878,0
2,2,688,11.33284330368042,7.717171717171835,2959,0
3,3,667,12.981703042984009,18.22222222222223,2907,0
4,4,657,14.580122232437134,55.99999999999997,2720,0
5,5,675,16.312131881713867,-42.78787878787877,3209,0
6,6,661,21.6770601272583,37.616161616161556,2811,0
7,7,663,23.16454005241394,51.95959595959597,2740,0
8,8,654,24.688524961471558,39.03030303030313,2804,0
9,9,646,29.726914405822754,48.92929292929297,2755,0
10,10,656,31.318942070007324,-8.040404040404034,3037,0
11,11,644,32.91772174835205,49.73737373737365,2751,0
12,12,654,38.397218227386475,47.91919191919189,2760,0
13,13,654,39.998780488967896,11.757575757575687,2939,0
14,14,639,41.567269802093506,67.11111111111099,2665,0
15,15,640,46.79582166671753,28.929292929292906,2854,0
16,16,649,48.366636514663696,-51.47474747474757,3252,0
17,17,655,49.953736543655396,31.55555555555542,2841,0
18,18,627,55.399152994155884,27.111111111111107,2863,0
19,19,628,56.8587646484375,24.28282828282841,2877,0
20,20,633,58.3105206489563,-6.828282828282842,3031,0
21,21,637,63.770044803619385,-9.858585858585954,3046,0
22,22,635,65.21396899223328,29.93939393939393,2849,0
23,23,634,66.65076470375061,33.37373737373731,2832,0
24,24,642,68.11467266082764,-1.1717171717171162,3003,0
25,25,622,73.53111243247986,28.121212121212103,2858,0
26,26,619,74.9373791217804,9.333333333333409,2951,0
27,27,628,76.36465692520142,27.31313131313117,2862,0
28,28,631,81.81297993659973,61.45454545454543,2693,0
29,29,624,83.2932722568512,76.40404040404044,2619,0
30,30,633,84.77423000335693,17.41414141414144,2911,0
31,31,639,90.16996026039124,22.868686868686726,2884,0
32,32,628,91.63119745254517,42.26262626262616,2788,0
33,33,623,93.10637521743774,-22.989898989899007,3111,0
34,34,633,98.61129140853882,27.313131313131265,2862,0
35,35,631,100.06025624275208,10.343434343434511,2946,0
36,36,630,101.51396417617798,27.919191919191842,2859,0
37,37,628,102.97086238861084,60.848484848484766,2696,0
38,38,625,108.41081809997559,27.515151515151413,2861,0
39,39,627,109.87443900108337,67.91919191919202,2661,0
40,40,625,111.31996607780457,80.24242424242418,2600,0
41,41,625,116.75543117523193,15.393939393939549,2921,0
42,42,614,118.17356038093567,60.84848484848492,2696,0
43,43,624,119.84935021400452,3.2727272727272094,2981,0
44,44,628,125.49137163162231,-24.202020202020243,3117,0
45,45,621,126.92669177055359,0.8484848484847674,2993,0
46,46,623,128.40923428535461,34.787878787878746,2825,0
47,47,625,129.83604741096497,22.666666666666707,2885,0
48,48,620,135.25702714920044,31.55555555555544,2841,0
49,49,612,136.64906072616577,8.929292929292943,2953,0
50,50,619,138.11804723739624,3.8787878787879606,2978,0
51,51,607,143.5732433795929,14.383838383838404,2926,0
52,52,615,145.03054571151733,48.12121212121197,2759,0
53,53,617,146.46078538894653,4.484848484848488,2975,0
54,54,609,151.8746681213379,22.060606060605995,2888,0
55,55,619,153.29880928993225,-5.414141414141323,3024,0
56,56,620,154.69876790046692,13.171717171717182,2932,0
57,57,620,160.1301624774933,24.68686868686865,2875,0
