#{"t_start": 1670450913.1807415, "env_id": "jss-v1"}
r,l,t,episode_makespan
-18.343434,691,3.924741,3088
24.080808,672,5.752343,2878
7.717172,688,11.332834,2959
18.222222,667,12.981695,2907
56.0,657,14.580113,2720
-42.787879,675,16.312122,3209
37.616162,661,21.677051,2811
51.959596,663,23.164531,2740
39.030303,654,24.688515,2804
48.929293,646,29.726905,2755
-8.040404,656,31.318932,3037
49.737374,644,32.91771,2751
47.919192,654,38.39721,2760
11.757576,654,39.998771,2939
67.111111,639,41.567259,2665
28.929293,640,46.795813,2854
-51.474747,649,48.366627,3252
31.555556,655,49.953728,2841
27.111111,627,55.399144,2863
24.282828,628,56.858755,2877
-6.828283,633,58.310512,3031
-9.858586,637,63.770036,3046
29.939394,635,65.21396,2849
33.373737,634,66.650746,2832
-1.171717,642,68.114666,3003
28.121212,622,73.531104,2858
9.333333,619,74.93737,2951
27.313131,628,76.364648,2862
61.454545,631,81.812972,2693
76.40404,624,83.293263,2619
17.414141,633,84.774221,2911
22.868687,639,90.169951,2884
42.262626,628,91.631188,2788
-22.989899,623,93.106367,3111
27.313131,633,98.611283,2862
10.343434,631,100.060247,2946
27.919192,630,101.513956,2859
60.848485,628,102.970854,2696
27.515152,625,108.41081,2861
67.919192,627,109.87443,2661
80.242424,625,111.319957,2600
15.393939,625,116.755422,2921
60.848485,614,118.173551,2696
3.272727,624,119.849335,2981
-24.20202,628,125.491363,3117
0.848485,621,126.926683,2993
34.787879,623,128.409226,2825
22.666667,625,129.836037,2885
31.555556,620,135.257019,2841
8.929293,612,136.649052,2953
3.878788,619,138.118039,2978
14.383838,607,143.573235,2926
48.121212,615,145.030533,2759
4.484848,617,146.460777,2975
22.060606,609,151.874659,2888
-5.414141,619,153.2988,3024
13.171717,620,154.698759,2932
24.686869,620,160.130147,2875
22.666667,612,161.537049,2885
-1.575758,614,162.925791,3005
-27.636364,615,164.363848,3134
30.545455,618,169.798776,2846
13.777778,615,171.235113,2929
-13.292929,619,172.672737,3063
70.949495,611,178.062309,2646
-15.111111,613,179.503384,3072
-0.161616,613,180.930288,2998
28.323232,615,186.418592,2857
67.111111,610,187.827247,2665
1.858586,602,189.250633,2988
13.979798,612,190.665924,2928
3.272727,608,196.069184,2981
35.393939,606,197.439542,2822
5.292929,615,198.900555,2971
-5.212121,614,204.344892,3023
29.131313,605,205.704607,2853
27.919192,605,207.075974,2859
4.686869,611,208.440782,2974
17.414141,613,213.989269,2911
34.989899,603,215.378539,2824
-7.636364,615,216.799233,3035
42.666667,606,222.232496,2786
33.777778,609,223.662529,2830
33.979798,608,225.070459,2829
15.393939,605,230.514989,2921
9.939394,614,231.956062,2948
17.818182,611,233.403122,2909
42.060606,620,234.856436,2789
22.464646,606,240.235804,2886
10.949495,612,241.606772,2943
57.616162,613,242.988869,2712
40.444444,618,248.371501,2797
15.79798,610,249.781647,2919
29.535354,608,251.162523,2851
55.79798,601,256.579529,2721
15.191919,608,257.968968,2922
10.343434,607,259.388138,2946
50.747475,605,260.771237,2746
25.69697,603,266.141359,2870
78.020202,603,267.503639,2611
-3.191919,608,268.90189,3013
43.070707,610,274.282013,2784
27.111111,623,275.723009,2863
21.454545,612,277.108154,2891
93.171717,611,282.512381,2536
83.070707,608,283.881003,2586
57.212121,610,285.284373,2714
9.333333,612,286.682942,2951
5.090909,615,292.069509,2972
4.888889,608,293.440897,2973
31.151515,610,294.896635,2843
55.191919,605,300.230846,2724
-12.888889,611,301.603216,3061
34.181818,605,302.957524,2828
46.707071,612,304.418316,2766
43.070707,610,309.871611,2784
34.585859,609,311.276113,2826
14.989899,608,312.653814,2923
30.545455,610,318.025845,2846
0.444444,607,319.394539,2995
48.727273,604,320.813771,2756
31.959596,613,326.239032,2839
2.666667,608,327.621073,2984
19.030303,607,328.996024,2903
12.363636,612,330.39815,2936
47.717172,608,335.813794,2761
24.080808,623,337.239903,2878
54.383838,611,338.642333,2728
45.090909,605,344.030704,2774
65.090909,614,345.442042,2675
51.151515,624,346.862755,2744
