#{"t_start": 1670663144.8997414, "env_id": "jss-v1"}
r,l,t,episode_makespan
42.747475,678,3.038676,2853
3.151515,682,3.848129,3049
22.949495,686,4.575543,2951
-18.868687,676,8.280752,3158
4.767677,670,8.992944,3041
21.939394,678,9.714805,2956
8.0,662,13.279738,3025
15.878788,655,13.975828,2986
13.858586,649,14.668869,2996
4.161616,654,18.303789,3044
-70.181818,635,18.983387,3412
52.646465,650,19.675634,2804
50.424242,648,23.26049,2815
74.464646,642,23.942452,2696
46.787879,636,24.622545,2833
6.989899,630,28.24806,3030
14.464646,636,28.924715,2993
44.969697,628,29.596628,2842
51.434343,636,33.203336,2810
65.575758,626,33.871123,2740
35.070707,626,34.539889,2891
13.656566,630,35.211393,2997
34.464646,628,38.782401,2894
2.141414,622,39.447086,3054
23.151515,626,40.11594,2950
59.919192,618,43.809535,2768
53.858586,614,44.462082,2798
43.959596,618,45.116858,2847
92.040404,613,48.671909,2609
62.141414,607,49.319825,2757
85.979798,617,49.976645,2639
62.747475,609,53.537336,2754
67.59596,613,54.202842,2730
39.111111,613,54.858379,2871
38.909091,614,55.512913,2872
41.939394,616,59.100629,2857
23.555556,619,59.76263,2948
50.828283,623,60.426678,2813
42.141414,626,64.045533,2856
-5.131313,621,64.709354,3090
22.343434,616,65.367422,2954
19.717172,628,68.918448,2967
25.575758,623,69.585799,2938
21.737374,618,70.247634,2957
67.59596,610,70.899156,2730
56.080808,619,74.546846,2787
2.343434,625,75.21072,3053
29.818182,622,75.87054,2917
85.171717,613,79.503778,2643
57.494949,623,80.168638,2780
34.666667,623,80.835046,2893
69.616162,617,84.448863,2720
21.131313,615,85.104181,2960
59.919192,608,85.751281,2768
79.515152,613,86.40413,2671
41.333333,625,89.962151,2860
56.888889,618,90.620292,2783
-0.282828,612,91.274698,3066
38.909091,615,94.864858,2872
29.414141,622,95.525059,2919
79.111111,618,96.183289,2673
55.272727,616,99.823149,2791
40.727273,611,100.474773,2863
76.484848,626,101.138522,2686
64.363636,621,101.797052,2746
25.575758,618,105.275079,2938
64.565657,610,105.921567,2745
37.89899,612,106.572643,2877
46.989899,608,110.21833,2832
98.10101,605,110.863225,2579
62.545455,611,111.511627,2755
52.444444,610,115.180732,2805
54.262626,607,115.829071,2796
111.636364,611,116.482092,2512
74.868687,607,117.130688,2694
