,episode,timesteps,time,reward,makespan,model_id
0,0,678,3.038681745529175,42.747474747474726,2853,0
1,1,682,3.8481357097625732,3.1515151515150777,3049,0
2,2,686,4.575547695159912,22.949494949494866,2951,0
3,3,676,8.28075623512268,-18.868686868686886,3158,0
4,4,670,8.992948055267334,4.7676767676766785,3041,0
5,5,678,9.714808940887451,21.93939393939393,2956,0
6,6,662,13.27974247932434,8.000000000000028,3025,0
7,7,655,13.975831747055054,15.878787878787735,2986,0
8,8,649,14.668874025344849,13.858585858585904,2996,0
9,9,654,18.30379343032837,4.161616161615974,3044,0
10,10,635,18.983391284942627,-70.18181818181823,3412,0
11,11,650,19.6756374835968,52.64646464646462,2804,0
12,12,648,23.260493993759155,50.424242424242365,2815,0
13,13,642,23.942456007003784,74.46464646464645,2696,0
14,14,636,24.622549295425415,46.78787878787876,2833,0
15,15,630,28.248064756393433,6.989898989899103,3030,0
16,16,636,28.92471957206726,14.46464646464656,2993,0
17,17,628,29.59663224220276,44.96969696969698,2842,0
18,18,636,33.203341245651245,51.4343434343434,2810,0
19,19,626,33.871126890182495,65.57575757575756,2740,0
20,20,626,34.53989362716675,35.070707070707016,2891,0
21,21,630,35.21139669418335,13.656565656565675,2997,0
22,22,628,38.78240466117859,34.46464646464646,2894,0
23,23,622,39.44709038734436,2.1414141414140317,3054,0
24,24,626,40.115944385528564,23.151515151515053,2950,0
25,25,618,43.80953907966614,59.91919191919192,2768,0
26,26,614,44.46208572387695,53.85858585858578,2798,0
27,27,618,45.116862058639526,43.959595959596065,2847,0
28,28,613,48.67191290855408,92.04040404040407,2609,0
29,29,607,49.31982946395874,62.14141414141414,2757,0
30,30,617,49.976648807525635,85.979797979798,2639,0
31,31,609,53.537344217300415,62.747474747474726,2754,0
32,32,613,54.20284628868103,67.59595959595963,2730,0
33,33,613,54.85838317871094,39.111111111111214,2871,0
34,34,614,55.51291751861572,38.90909090909088,2872,0
35,35,616,59.10063362121582,41.93939393939394,2857,0
36,36,619,59.76263427734375,23.555555555555728,2948,0
37,37,623,60.426682472229004,50.828282828282724,2813,0
38,38,626,64.04553723335266,42.14141414141411,2856,0
39,39,621,64.70935773849487,-5.13131313131321,3090,0
40,40,616,65.36742639541626,22.343434343434293,2954,0
41,41,628,68.91845369338989,19.717171717171613,2967,0
42,42,623,69.58580327033997,25.575757575757557,2938,0
43,43,618,70.24763774871826,21.737373737373677,2957,0
44,44,610,70.89916038513184,67.59595959595947,2730,0
45,45,619,74.54685044288635,56.080808080808,2787,0
46,46,625,75.2107241153717,2.343434343434275,3053,0
47,47,622,75.87054419517517,29.818181818181717,2917,0
48,48,613,79.50378346443176,85.17171717171708,2643,0
49,49,623,80.16864204406738,57.49494949494938,2780,0
50,50,623,80.83505010604858,34.6666666666666,2893,0
51,51,617,84.44886755943298,69.61616161616156,2720,0
52,52,615,85.10418510437012,21.13131313131303,2960,0
53,53,608,85.75128531455994,59.91919191919176,2768,0
54,54,613,86.40413403511047,79.51515151515136,2671,0
55,55,625,89.96215510368347,41.33333333333343,2860,0
56,56,618,90.6202962398529,56.888888888888914,2783,0
57,57,612,91.27470254898071,-0.282828282828385,3066,0
58,58,615,94.8648624420166,38.909090909090715,2872,0
59,59,622,95.5250632762909,29.41414141414141,2919,0
60,60,618,96.18329358100891,79.11111111111111,2673,0
61,61,616,99.82315349578857,55.272727272727266,2791,0
62,62,611,100.47477769851685,40.727272727272606,2863,0
63,63,626,101.13852596282959,76.48484848484857,2686,0
64,64,621,101.79705572128296,64.3636363636364,2746,0
65,65,618,105.27508330345154,25.575757575757585,2938,0
66,66,610,105.92157077789307,64.56565656565625,2745,0
67,67,612,106.57264685630798,37.898989898989875,2877,0
68,68,608,110.21833419799805,46.9898989898989,2832,0
69,69,605,110.86322927474976,98.10101010101019,2579,0
70,70,611,111.51163172721863,62.54545454545443,2755,0
71,71,610,115.18073654174805,52.44444444444444,2805,0
72,72,607,115.82907462120056,54.2626262626265,2796,0
73,73,611,116.48209595680237,111.63636363636367,2512,0
74,74,607,117.13069224357605,74.86868686868712,2694,0
75,75,609,120.77890849113464,37.09090909090904,2881,0
76,76,607,121.42871522903442,71.43434343434342,2711,0
77,77,621,122.0911295413971,84.36363636363649,2647,0
78,78,608,125.60500431060791,47.59595959595954,2829,0
