#{"t_start": 1670498148.4121192, "env_id": "jss-v1"}
r,l,t,episode_makespan
30.686869,674,3.048892,2976
-35.575758,692,3.907931,3304
-26.888889,689,7.674517,3261
32.30303,683,8.449538,2968
46.242424,657,9.147179,2899
-1.434343,673,9.880576,3135
48.262626,666,13.659693,2889
40.181818,660,14.361897,2929
57.353535,665,15.075768,2844
-41.030303,650,18.763765,3331
56.949495,638,19.445756,2846
53.717172,644,20.134881,2862
38.363636,647,23.795088,2938
43.010101,658,24.496736,2915
39.575758,652,25.195688,2932
59.171717,644,28.822074,2835
74.525253,628,29.49667,2759
34.121212,635,30.176951,2959
62.0,632,33.791486,2821
55.131313,640,34.484285,2855
63.010101,633,35.166989,2816
-18.808081,647,38.729881,3221
73.515152,634,39.408372,2764
12.909091,631,40.084921,3064
58.969697,643,40.772253,2836
58.565657,639,44.440636,2838
75.131313,632,45.123998,2756
45.232323,625,45.80131,2904
55.333333,624,49.546404,2854
51.89899,628,50.220586,2871
38.767677,636,50.902087,2936
86.848485,620,54.567114,2698
58.565657,623,55.236644,2838
63.212121,619,55.902908,2815
84.626263,625,59.594661,2709
46.444444,623,60.269402,2898
37.555556,618,60.933705,2942
55.333333,632,61.606076,2854
15.737374,622,65.144924,3050
71.292929,619,65.804861,2775
41.393939,615,66.468807,2923
50.686869,617,70.127058,2877
40.585859,623,70.795869,2927
3.414141,630,71.467244,3111
57.151515,621,75.183982,2845
76.949495,624,75.851541,2747
58.969697,620,76.52094,2836
82.606061,627,77.197375,2719
39.979798,618,80.824495,2930
40.787879,625,81.494124,2926
31.89899,617,82.153165,2970
77.555556,629,85.700618,2744
8.868687,615,86.367138,3084
-67.090909,618,87.027946,3460
44.626263,617,90.769868,2907
40.989899,629,91.442977,2925
58.767677,613,92.099192,2837
73.515152,615,95.844219,2764
52.909091,611,96.509146,2866
58.767677,619,97.170253,2837
36.747475,615,97.826629,2946
17.353535,625,101.452673,3042
9.676768,616,102.112923,3080
34.929293,615,102.771254,2955
40.787879,619,106.444833,2926
16.747475,624,107.113215,3045
57.151515,618,107.775214,2845
51.292929,620,111.40279,2874
33.313131,610,112.062439,2963
26.040404,613,112.719239,2999
53.111111,614,113.377303,2865
44.222222,615,117.078902,2909
64.020202,615,117.737806,2811
61.191919,617,118.396635,2825
20.989899,620,122.046671,3024
43.414141,616,122.705276,2913
59.979798,620,123.368592,2831
62.606061,617,126.946784,2818
40.989899,615,127.608,2925
73.515152,614,128.266794,2764
71.89899,611,128.924957,2772
51.494949,613,132.606787,2873
58.161616,614,133.269157,2840
19.777778,616,133.931258,3030
76.747475,613,137.484086,2748
61.393939,614,138.143679,2824
42.606061,614,138.803193,2917
42.20202,618,142.520309,2919
65.030303,614,143.182051,2806
91.292929,611,143.837297,2676
73.717172,615,144.502151,2763
59.979798,623,148.136047,2831
86.242424,618,148.803941,2701
41.79798,615,149.470818,2921
75.939394,605,153.139235,2752
66.848485,619,153.805551,2797
58.565657,619,154.472406,2838
1.191919,618,158.029942,3122
72.707071,616,158.689017,2768
76.141414,621,159.351494,2751
10.686869,632,160.032179,3075
98.161616,613,163.599632,2642
95.333333,618,164.265746,2656
47.050505,616,164.929601,2895
44.020202,618,168.493213,2910
54.525253,616,169.151901,2858
29.474747,618,169.818242,2982
29.272727,616,173.368619,2983
42.20202,615,174.026212,2919
39.777778,613,174.680381,2931
28.464646,619,175.347634,2987
12.909091,617,178.940415,3064
32.909091,619,179.601529,2965
60.585859,611,180.254569,2828
40.585859,611,183.896203,2927
57.151515,612,184.55224,2845
73.313131,618,185.21148,2765
34.727273,627,188.935472,2956
68.464646,620,189.600765,2789
34.323232,613,190.260448,2958
39.373737,626,190.934083,2933
52.505051,628,194.570295,2868
67.252525,628,195.239398,2795
51.494949,614,195.895117,2873
84.424242,620,199.627604,2710
48.868687,630,200.309641,2886
72.707071,612,200.966978,2768
67.050505,616,204.62465,2796
60.181818,622,205.327609,2830
41.79798,616,205.99717,2921
54.727273,610,206.652793,2857
58.565657,607,210.180312,2838
102.0,614,210.840139,2623
50.686869,611,211.502031,2877
77.151515,609,215.13497,2746
80.787879,615,215.795554,2728
86.646465,616,216.462222,2699
44.222222,616,219.982878,2909
57.151515,614,220.643134,2845
104.222222,605,221.299296,2612
45.030303,614,221.965064,2905
73.515152,615,225.559057,2764
69.878788,612,226.221429,2782
76.949495,613,226.884341,2747
30.888889,608,230.560374,2975
76.747475,608,231.209233,2748
34.121212,607,231.858483,2959
47.454545,607,235.358313,2893
69.878788,604,236.003784,2782
84.626263,602,236.648155,2709
70.686869,608,237.299363,2778
76.747475,614,240.962902,2748
74.121212,609,241.617664,2761
86.444444,603,242.271189,2700
105.030303,606,245.876648,2608
-8.707071,613,246.539049,3171
63.010101,609,247.193249,2816
104.424242,610,250.710407,2611
67.050505,610,251.3661,2796
83.212121,609,252.019978,2716
88.868687,604,252.676415,2688
103.818182,604,256.37176,2614
30.686869,604,257.024884,2976
51.69697,605,257.677424,2872
49.676768,613,261.285759,2882
20.989899,613,261.94634,3024
60.585859,614,262.60777,2828
40.181818,613,266.184323,2929
38.161616,602,266.83927,2939
87.252525,605,267.487997,2696
30.484848,611,268.149043,2977
83.414141,617,271.875798,2715
84.222222,609,272.53205,2711
77.757576,612,273.193203,2743
75.333333,603,276.841607,2755
29.474747,610,277.50041,2982
62.0,613,278.156838,2821
96.949495,603,278.802161,2648
76.747475,605,282.323673,2748
99.979798,608,282.97942,2633
93.717172,606,283.634062,2664
60.989899,603,287.285311,2826
72.505051,607,287.939647,2769
28.060606,610,288.598439,2989
77.757576,610,292.254454,2743
84.626263,609,292.912109,2709
45.030303,606,293.565569,2905
79.171717,603,294.215473,2736
7.858586,613,297.865577,3089
