#{"t_start": 1670444111.7689292, "env_id": "jss-v1"}
r,l,t,episode_makespan
42.747475,678,3.90872,2853
3.151515,682,5.710963,3049
22.949495,686,7.481637,2951
-18.868687,676,12.948683,3158
4.767677,670,14.461731,3041
21.939394,678,15.988585,2956
-8.565657,660,21.442397,3107
51.232323,664,23.011094,2811
0.525253,652,24.488017,3062
37.090909,640,29.777229,2881
61.131313,640,31.303197,2762
58.30303,642,32.782807,2776
47.393939,650,38.219964,2830
29.414141,633,39.661211,2919
55.474747,633,41.100324,2790
31.232323,629,46.50709,2910
59.515152,617,47.944047,2770
39.313131,633,49.370831,2870
51.838384,622,54.732988,2808
5.373737,618,56.153406,3038
61.737374,622,57.577735,2759
43.757576,630,59.005502,2848
52.444444,626,64.321284,2805
79.717172,625,65.769273,2670
56.080808,621,67.203054,2787
44.969697,620,72.583014,2842
71.030303,614,73.980364,2713
44.969697,616,75.383202,2842
26.989899,612,80.725672,2931
39.313131,618,82.126612,2870
52.646465,615,83.557191,2804
17.69697,620,85.007717,2977
2.949495,618,90.581473,3050
49.010101,610,92.062638,2822
51.636364,613,93.552021,2809
69.212121,622,98.888352,2722
16.484848,617,100.293206,2983
64.969697,616,101.709537,2743
41.535354,609,107.157663,2859
59.515152,618,108.638633,2770
62.343434,613,110.065803,2756
58.909091,618,111.490334,2773
24.363636,613,116.820619,2944
11.232323,626,118.271553,3009
54.666667,616,119.661177,2794
43.757576,610,124.991711,2848
41.535354,615,126.423761,2859
53.656566,615,127.836528,2799
39.313131,620,133.263796,2870
52.242424,613,134.643285,2806
57.89899,618,136.038084,2778
31.434343,623,137.465122,2909
39.919192,614,142.755537,2867
40.121212,606,144.126143,2866
20.929293,611,145.517839,2961
21.535354,617,150.860668,2958
22.545455,618,152.291115,2953
48.40404,616,153.705355,2825
59.313131,618,159.025377,2771
22.141414,621,160.4196,2955
82.343434,622,161.804218,2657
55.676768,618,167.20715,2789
-7.959596,620,168.621719,3104
66.181818,618,170.004574,2737
49.212121,616,171.393146,2821
60.323232,617,176.792812,2766
56.686869,616,178.280021,2784
45.979798,612,179.672156,2837
23.757576,614,185.049525,2947
53.656566,611,186.407177,2799
71.030303,607,187.759435,2713
63.151515,607,193.128906,2752
71.838384,613,194.554747,2709
14.464646,622,195.964548,2993
-23.919192,614,197.352006,3183
62.141414,610,202.574469,2757
22.949495,606,203.968066,2951
16.080808,614,205.387714,2985
36.080808,616,210.774681,2886
57.89899,609,212.151047,2778
-7.555556,616,213.593039,3102
84.767677,607,215.019944,2645
63.959596,601,220.343359,2748
59.717172,610,221.752789,2769
48.606061,614,223.151586,2824
94.666667,606,228.41733,2596
62.343434,611,229.812532,2756
74.868687,608,231.191448,2694
34.262626,604,236.457223,2895
57.090909,602,237.837389,2782
83.959596,602,239.209619,2649
30.828283,604,240.59367,2912
86.383838,602,245.916773,2637
69.212121,604,247.583251,2722
