#{"t_start": 1670540670.108435, "env_id": "jss-v1"}
r,l,t,episode_makespan
21.232323,696,3.079698,2954
-31.89899,709,3.926981,3217
-11.69697,685,7.990779,3117
15.373737,680,8.746724,2983
40.626263,678,9.493154,2858
26.888889,668,13.342921,2926
4.060606,671,14.089818,3039
26.282828,670,14.827408,2929
15.979798,660,15.571963,2980
52.343434,644,19.389878,2800
58.40404,655,20.099103,2770
49.515152,650,20.799221,2814
27.292929,653,24.614815,2924
49.313131,640,25.308966,2815
17.393939,636,25.996689,2973
77.191919,639,29.707525,2677
51.333333,627,30.389778,2805
7.69697,632,31.078087,3021
42.040404,625,34.751622,2851
12.747475,628,35.427276,2996
-19.575758,622,36.097477,3156
-8.060606,628,39.820319,3099
2.848485,620,40.495471,3045
41.232323,620,41.164459,2855
62.646465,631,41.844976,2749
24.868687,619,45.426143,2936
20.626263,621,46.098454,2957
-9.272727,623,46.771247,3105
56.181818,614,50.471518,2781
50.727273,638,51.155658,2808
28.10101,625,51.828703,2920
59.414141,621,55.44362,2765
38.606061,623,56.111968,2868
21.030303,615,56.773553,2955
29.111111,626,57.443825,2915
-0.181818,618,61.123118,3060
-14.727273,613,61.783505,3132
61.434343,626,62.454889,2755
-18.161616,612,66.000933,3149
-3.414141,621,66.668637,3076
73.555556,623,67.343713,2695
8.707071,625,71.079868,3016
10.929293,625,71.751349,3005
-7.858586,626,72.424767,3098
-11.494949,619,76.157233,3116
-5.030303,625,76.841217,3084
33.151515,617,77.505721,2895
24.868687,614,78.16829,2936
19.212121,613,81.868548,2964
35.777778,619,82.535752,2882
75.979798,614,83.200911,2683
3.050505,615,86.82891,3044
25.878788,614,87.492502,2931
-5.030303,613,88.152222,3084
43.050505,616,91.847811,2846
34.767677,611,92.511578,2887
11.535354,619,93.181969,3002
5.070707,615,93.848614,3034
-32.505051,613,97.515577,3220
45.070707,619,98.185532,2836
42.242424,610,98.843459,2850
60.626263,619,102.486706,2759
30.525253,621,103.158221,2908
-8.868687,616,103.826386,3103
23.858586,622,107.483506,2941
-30.080808,625,108.161421,3208
13.555556,613,108.823565,2992
40.424242,621,109.494195,2859
-13.313131,620,113.061939,3125
6.484848,618,113.727964,3027
22.444444,615,114.391823,2948
65.272727,610,118.024612,2736
-13.111111,620,118.693545,3124
28.707071,611,119.355195,2917
34.969697,611,122.979527,2886
-54.727273,609,123.641074,3330
6.484848,612,124.303898,3027
15.575758,615,124.968628,2982
51.939394,621,128.621398,2802
-9.474747,609,129.279145,3106
-11.090909,615,129.942675,3114
18.0,612,133.571397,2970
27.292929,630,134.251037,2924
12.141414,622,134.922596,2999
-1.191919,614,138.578717,3065
36.181818,613,139.24362,2880
37.191919,627,139.921576,2875
-12.30303,617,140.592636,3120
10.121212,622,144.248048,3009
-5.434343,619,144.916645,3086
-15.939394,616,145.580887,3138
-21.59596,627,149.172817,3166
26.282828,618,149.844866,2929
12.949495,620,150.516123,2995
42.848485,621,154.174809,2847
-37.151515,628,154.853043,3243
56.383838,618,155.52128,2780
28.707071,619,156.193248,2917
28.30303,626,159.810482,2919
37.191919,622,160.48063,2875
21.232323,622,161.152777,2954
46.282828,619,164.876122,2830
-16.545455,616,165.541845,3141
0.828283,621,166.210794,3055
-14.727273,619,169.838277,3132
6.888889,614,170.502062,3025
-18.969697,620,171.172551,3153
12.141414,622,174.81728,2999
49.717172,612,175.488017,2813
20.424242,618,176.156841,2958
7.89899,618,176.823535,3020
-37.757576,621,180.462458,3246
34.363636,620,181.132105,2889
-16.747475,616,181.796564,3142
-15.333333,618,185.419332,3135
10.929293,616,186.08534,3005
30.323232,615,186.749228,2909
17.393939,618,190.379499,2973
43.252525,621,191.05559,2845
5.272727,617,191.722072,3033
7.69697,633,192.404471,3021
-3.010101,617,196.044419,3074
51.131313,621,196.714988,2806
-2.0,616,197.381698,3069
4.060606,621,201.058676,3039
31.939394,619,201.725575,2901
16.787879,618,202.393311,2976
-21.393939,618,206.041716,3165
8.707071,610,206.703709,3016
10.525253,608,207.364885,3007
-15.939394,613,208.028588,3138
29.111111,612,211.675245,2915
33.959596,615,212.342096,2891
25.070707,626,213.017556,2935
3.454545,619,216.670276,3042
-14.929293,625,217.347591,3133
11.333333,619,218.018022,3003
45.070707,626,221.536254,2836
-20.181818,617,222.205124,3159
-13.515152,615,222.872497,3126
15.575758,624,223.552294,2982
4.060606,614,227.237608,3039
19.414141,613,227.900177,2963
15.575758,612,228.562146,2982
11.131313,622,232.195737,3004
14.363636,616,232.862016,2988
4.868687,618,233.532835,3035
23.858586,614,237.155571,2941
26.484848,621,237.827804,2928
5.878788,614,238.494306,3030
-8.060606,613,239.159496,3099
-7.454545,611,242.736982,3096
13.353535,616,243.403224,2993
6.686869,614,244.068825,3026
18.808081,615,247.655632,2966
23.252525,616,248.321975,2944
-26.646465,611,248.982011,3191
14.767677,612,252.638736,2986
18.606061,608,253.296302,2967
26.080808,611,253.956949,2930
10.121212,613,254.620851,3009
-0.787879,612,258.255284,3063
-10.686869,611,258.91422,3112
-15.535354,613,259.57735,3136
14.363636,611,263.235109,2988
-15.131313,605,263.888639,3134
36.181818,611,264.548182,2880
36.383838,608,268.206909,2879
17.59596,607,268.864167,2972
-13.717172,607,269.522294,3127
10.929293,606,270.178482,3005
-5.232323,610,273.742295,3085
-15.737374,605,274.396068,3137
-18.565657,607,275.052931,3151
-30.484848,605,278.723516,3210
-2.808081,606,279.380659,3073
29.111111,607,280.03577,2915
8.10101,606,283.667121,3019
-3.616162,604,284.326826,3077
-18.969697,607,284.983796,3153
-30.888889,604,285.637965,3212
32.545455,615,289.258287,2898
29.111111,609,289.916773,2915
-15.131313,608,290.576069,3134
-39.777778,610,294.151721,3256
-11.69697,612,294.81637,3117
-9.474747,606,295.473193,3106
15.171717,615,296.139788,2984
22.040404,609,299.645742,2950
21.838384,612,300.307354,2951
-35.737374,613,300.969949,3236
-1.393939,610,304.562162,3066
29.313131,611,305.220253,2914
-21.191919,609,305.878192,3164
-10.686869,615,309.485211,3112
-39.171717,621,310.156523,3253
-30.282828,613,310.818965,3209
-38.969697,609,311.477949,3252
6.080808,608,315.103589,3029
24.868687,611,315.765326,2936
1.434343,603,316.418237,3052
36.787879,613,320.023158,2877
-49.474747,615,320.688179,3304
-34.727273,612,321.353061,3231
1.838384,610,324.963274,3050
9.919192,611,325.624509,3010
-1.191919,618,326.292676,3065
25.070707,613,326.954134,2935
-40.585859,607,330.566304,3260
-7.656566,606,331.222621,3097
1.232323,604,331.884359,3053
-61.59596,608,335.512277,3364
43.050505,605,336.166905,2846
-17.959596,604,336.820472,3148
-19.777778,605,340.534513,3157
-22.20202,608,341.193745,3169
12.343434,609,341.854264,2998
10.121212,606,342.511274,3009
-13.717172,610,346.108735,3127
20.222222,614,346.773901,2959
15.171717,606,347.432244,2984
-11.292929,610,351.166806,3115
34.565657,609,351.826831,2888
1.636364,602,352.479706,3051
28.707071,611,356.175101,2917
-26.444444,602,356.833848,3190
2.444444,603,357.484403,3047
32.343434,604,358.137775,2899
30.121212,604,361.773451,2910
23.454545,606,362.431484,2943
15.777778,606,363.087882,2981
-26.242424,605,366.74108,3189
8.10101,604,367.395616,3019
-47.454545,603,368.04916,3294
2.848485,601,368.700014,3045
-25.030303,610,372.306033,3183
-41.59596,604,372.956284,3265
20.424242,606,373.608462,2958
31.535354,603,377.222437,2903
-2.606061,604,377.872215,3072
-8.868687,601,378.521505,3103
-4.424242,606,382.228497,3081
