#{"t_start": 1670789995.0801287, "env_id": "jss-v1"}
r,l,t,episode_makespan
-18.343434,691,3.103976,3088
24.080808,672,3.918289,2878
7.717172,688,7.962837,2959
18.222222,667,8.706362,2907
56.0,657,9.419021,2720
-42.787879,675,10.151332,3209
42.060606,663,13.920443,2789
-13.494949,658,14.628905,3064
-16.929293,655,15.336599,3081
55.191919,635,18.978398,2724
7.111111,653,19.68201,2962
68.323232,640,20.371099,2659
23.070707,638,24.090843,2883
24.686869,626,24.766671,2875
53.777778,629,25.444689,2731
34.989899,631,29.198426,2824
28.727273,632,29.889517,2855
-19.151515,637,30.585928,3092
3.070707,629,34.240226,2982
39.232323,623,34.916014,2803
23.676768,618,35.589677,2880
26.707071,619,36.259618,2865
49.333333,620,39.961638,2753
48.929293,626,40.640716,2755
35.191919,622,41.323233,2823
50.747475,621,45.10115,2746
10.747475,618,45.775184,2944
29.131313,617,46.443282,2853
37.616162,620,50.182733,2811
71.353535,618,50.852773,2644
25.090909,619,51.527357,2873
35.393939,615,52.188306,2822
32.363636,616,55.886199,2837
-12.484848,619,56.559355,3059
62.868687,611,57.219569,2686
7.111111,617,60.916581,2962
35.191919,622,61.587354,2823
58.626263,614,62.251553,2707
63.878788,619,65.970581,2681
9.535354,615,66.642576,2950
25.89899,614,67.314073,2869
31.151515,620,67.98843,2843
2.060606,624,71.724997,2987
-7.838384,621,72.39854,3036
71.555556,616,73.065357,2643
35.393939,619,76.785487,2822
7.919192,624,77.461972,2958
39.838384,614,78.127228,2800
29.131313,611,81.827058,2853
39.232323,619,82.497879,2803
58.222222,613,83.162914,2709
39.232323,612,86.861935,2803
59.636364,609,87.573306,2702
16.40404,612,88.242904,2916
22.262626,612,88.90807,2887
9.131313,615,92.554129,2952
28.323232,619,93.2254,2857
27.717172,622,93.898378,2860
-72.888889,613,97.599132,3358
32.767677,617,98.267983,2835
-13.090909,616,98.93539,3062
-26.626263,619,102.600919,3129
63.676768,612,103.27519,2682
50.747475,613,103.93813,2746
37.616162,616,104.604405,2811
2.868687,611,108.269506,2983
-1.575758,616,108.934569,3005
43.070707,610,109.597448,2784
22.666667,613,113.377574,2885
20.646465,606,114.035262,2895
18.828283,611,114.701804,2904
2.868687,612,115.364143,2983
59.232323,605,119.117692,2704
40.444444,609,119.778271,2797
47.919192,605,120.435423,2760
42.464646,610,124.073258,2787
41.656566,605,124.728511,2791
42.262626,604,125.383707,2788
63.676768,608,128.971127,2682
-12.484848,611,129.635762,3059
47.717172,606,130.294359,2761
47.111111,604,130.951724,2764
9.939394,605,134.703616,2948
20.242424,605,135.359538,2897
57.818182,610,136.021671,2711
41.050505,604,139.747585,2794
40.848485,608,140.408048,2795
19.030303,604,141.064115,2903
-30.868687,614,144.803825,3150
16.808081,604,145.461523,2914
-11.272727,609,146.122653,3053
-1.575758,605,146.779257,3005
50.949495,615,150.476044,2745
10.747475,609,151.140163,2944
45.292929,609,151.801812,2773
6.505051,610,155.512183,2965
29.939394,607,156.17187,2849
40.646465,607,156.831819,2796
6.909091,614,160.494352,2963
24.484848,616,161.176383,2876
16.808081,606,161.834493,2914
12.767677,608,162.497236,2934
29.333333,606,166.150315,2852
22.262626,606,166.809662,2887
-28.646465,605,167.467738,3139
-0.767677,610,171.189134,3001
-77.535354,606,171.843855,3381
-28.848485,607,172.500613,3140
3.272727,604,173.155404,2981
63.474747,614,176.861358,2683
-24.40404,612,177.52328,3118
22.666667,610,178.185113,2885
11.959596,605,181.964355,2938
-4.0,609,182.625439,3017
32.161616,606,183.282709,2838
48.121212,607,186.962266,2759
32.363636,608,187.621113,2837
34.989899,609,188.282505,2824
21.252525,604,188.936401,2892
-20.161616,602,192.615458,3097
-43.59596,609,193.275882,3213
-35.515152,609,193.934705,3173
-10.262626,607,197.65045,3048
-1.777778,604,198.307518,3006
-24.0,603,198.960723,3116
56.0,604,202.684031,2720
35.393939,605,203.352138,2822
54.787879,605,204.009286,2726
-32.080808,607,204.668947,3156
18.020202,603,208.39211,2908
50.949495,604,209.049399,2745
8.525253,602,209.704311,2955
30.141414,607,213.358749,2848
21.252525,603,214.014498,2892
94.989899,606,214.673265,2527
28.323232,609,215.335192,2857
6.707071,613,219.094478,2964
32.969697,616,219.76303,2834
-27.636364,610,220.427067,3134
25.89899,604,224.011803,2869
18.828283,603,224.666908,2904
40.040404,607,225.327837,2799
56.20202,608,228.939816,2719
26.505051,609,229.601732,2866
8.525253,606,230.262545,2955
65.494949,605,230.920704,2673
24.282828,609,234.574059,2877
-5.414141,611,235.237989,3024
-9.050505,609,235.902294,3042
24.282828,610,239.682871,2877
19.636364,613,240.348331,2900
52.363636,602,241.002155,2738
67.919192,611,244.726373,2661
58.828283,613,245.399711,2706
28.929293,608,246.060957,2854
-7.030303,613,246.729363,3032
38.020202,609,250.45463,2809
39.232323,607,251.113443,2803
14.585859,607,251.772812,2925
30.545455,605,255.461419,2846
-6.626263,609,256.120279,3030
1.454545,607,256.776699,2990
30.949495,610,257.438405,2844
21.858586,604,261.092438,2889
-16.525253,607,261.750094,3079
18.020202,609,262.411234,2908
18.424242,609,266.160897,2906
57.818182,606,266.818964,2711
43.676768,608,267.478325,2781
41.050505,604,271.217498,2794
56.606061,608,271.875822,2717
48.727273,610,272.53774,2756
13.373737,607,273.196412,2931
16.606061,608,276.887661,2915
36.0,606,277.543892,2819
54.989899,606,278.200093,2725
41.858586,612,281.960363,2790
60.040404,607,282.617127,2700
22.262626,608,283.274169,2887
32.363636,606,286.984848,2837
17.414141,607,287.645247,2911
41.656566,607,288.303679,2791
4.080808,608,288.962506,2977
65.494949,608,292.671464,2673
2.464646,611,293.335485,2985
30.949495,607,293.995135,2844
-13.494949,607,297.721083,3064
55.79798,602,298.374644,2721
27.111111,602,299.02689,2863
33.575758,609,299.686505,2831
16.20202,607,303.349278,2917
11.353535,602,304.001717,2941
2.666667,601,304.653422,2984
36.0,602,308.304548,2819
28.525253,604,308.958032,2856
10.141414,604,309.612287,2947
51.555556,606,313.318875,2742
36.808081,607,313.975618,2815
43.878788,606,314.633178,2780
32.161616,610,315.293239,2838
51.353535,601,318.926697,2743
9.535354,604,319.580857,2950
44.484848,601,320.231705,2777
46.505051,603,323.986465,2767
66.909091,601,324.63846,2666
21.252525,605,325.293156,2892
41.050505,603,328.930519,2794
16.808081,603,329.595369,2914
80.040404,604,330.250902,2601
51.555556,602,330.907702,2742
4.484848,603,334.624957,2975
26.909091,602,335.278185,2864
64.080808,602,335.930007,2680
25.69697,603,339.669539,2870
45.090909,602,340.320385,2774
51.959596,601,340.972133,2740
56.606061,601,341.623592,2717
76.808081,601,345.295984,2617
47.313131,603,345.947697,2763
50.141414,601,346.600767,2749
40.646465,602,350.295166,2796
44.686869,603,350.95641,2776
27.111111,604,351.619479,2863
43.676768,601,355.386029,2781
47.313131,603,356.053415,2763
83.272727,603,356.710396,2585
6.30303,601,357.365735,2966
42.464646,605,361.100721,2787
59.030303,600,361.750259,2705
19.838384,603,362.410954,2899
10.949495,603,366.066757,2943
26.707071,603,366.721567,2865
42.666667,603,367.380459,2786
28.323232,603,368.032586,2857
19.838384,606,371.757963,2899
59.838384,608,372.416963,2701
29.131313,602,373.069583,2853
40.242424,604,376.802686,2798
67.313131,605,377.457878,2664
42.060606,603,378.118499,2789
79.030303,603,381.817555,2606
41.858586,602,382.484172,2790
57.414141,602,383.142299,2713
68.929293,604,383.804987,2656
50.343434,603,387.545585,2748
16.0,608,388.212133,2918
73.171717,602,388.865445,2635
47.919192,601,392.774605,2760
-17.535354,604,393.458189,3084
41.252525,603,394.11129,2793
27.919192,604,394.770946,2859
54.383838,602,398.84382,2728
67.919192,600,399.502421,2661
41.656566,601,400.155799,2791
80.040404,605,403.829376,2601
21.252525,600,404.513245,2892
50.747475,603,405.173842,2746
43.676768,600,408.85675,2781
19.434343,602,409.548702,2901
43.070707,603,410.20947,2784
49.737374,601,410.868242,2751
52.969697,602,414.576346,2735
30.141414,601,415.234466,2848
64.484848,602,415.888749,2678
40.242424,603,419.513634,2798
85.89899,600,420.171285,2572
54.181818,603,420.832946,2729
55.393939,601,421.49075,2723
92.767677,602,425.203399,2538
70.141414,600,425.860306,2650
39.434343,602,426.520492,2802
81.252525,603,430.163408,2595
17.818182,605,430.827988,2909
