#{"t_start": 1670750158.5767307, "env_id": "jss-v1"}
r,l,t,episode_makespan
-24.989899,696,3.117532,3146
9.757576,686,3.932669,2974
19.858586,702,7.802665,2924
34.20202,667,8.558441,2853
20.262626,676,9.299473,2922
22.080808,669,10.038108,2913
35.616162,658,13.88937,2846
10.161616,658,14.591775,2972
-23.777778,661,15.291007,3140
28.141414,644,18.830728,2883
48.343434,655,19.521071,2783
7.737374,641,20.200054,2984
16.626263,647,23.864078,2940
6.121212,648,24.552041,2992
30.363636,642,25.234659,2872
41.474747,629,28.78852,2817
19.454545,631,29.467298,2926
73.59596,640,30.152536,2658
10.363636,618,33.775811,2971
4.10101,629,34.443317,3002
45.919192,617,35.103596,2795
66.929293,625,38.6212,2691
49.353535,628,39.306505,2778
42.686869,628,39.977978,2811
26.929293,618,40.642745,2889
41.070707,619,44.28033,2819
100.464646,619,44.940246,2525
79.454545,622,45.602925,2629
47.131313,617,49.236282,2789
46.525253,617,49.89861,2792
50.767677,627,50.567163,2771
51.373737,616,54.168949,2768
14.808081,622,54.835034,2949
20.060606,633,55.510184,2923
-20.747475,622,56.167713,3125
45.717172,627,59.769023,2796
54.0,623,60.427994,2755
82.686869,620,61.08532,2613
-5.59596,618,64.702277,3050
-40.141414,619,65.360057,3221
58.646465,610,66.010147,2732
73.393939,630,69.606388,2659
20.464646,616,70.26029,2921
-1.555556,624,70.923379,3030
12.181818,618,71.577368,2962
26.323232,627,75.263463,2892
12.585859,613,75.913217,2960
53.191919,632,76.583807,2759
-39.737374,619,80.183367,3219
42.282828,626,80.844576,2813
1.878788,621,81.501539,3013
21.474747,620,85.170593,2916
50.969697,626,85.835237,2770
25.717172,630,86.500929,2895
29.757576,622,90.217612,2875
-25.191919,632,90.891865,3147
45.313131,616,91.546365,2798
53.79798,620,92.203167,2756
29.353535,624,95.761383,2877
61.676768,626,96.423204,2717
35.818182,629,97.09158,2845
-15.69697,623,100.743472,3100
-17.111111,618,101.400801,3107
58.848485,618,102.058717,2731
-7.212121,630,105.707402,3058
58.040404,622,106.369498,2735
-14.080808,629,107.039119,3092
48.141414,615,107.692437,2784
21.272727,619,111.258951,2917
-14.888889,619,111.91841,3096
35.616162,614,112.572675,2846
0.868687,631,116.143161,3018
50.565657,622,116.800937,2772
-9.838384,616,117.45381,3071
-7.414141,623,121.099251,3059
48.747475,627,121.76423,2781
