,episode,timesteps,time,reward,makespan,model_id
0,0,696,3.117539644241333,-24.989898989899068,3146,0
1,1,686,3.932677984237671,9.757575757575824,2974,0
2,2,702,7.802671670913696,19.858585858585798,2924,0
3,3,667,8.558445930480957,34.20202020202024,2853,0
4,4,676,9.299477815628052,20.26262626262618,2922,0
5,5,669,10.038112163543701,22.08080808080794,2913,0
6,6,658,13.88937497138977,35.61616161616173,2846,0
7,7,658,14.591778993606567,10.161616161616063,2972,0
8,8,661,15.291010856628418,-23.77777777777773,3140,0
9,9,644,18.830732583999634,28.14141414141415,2883,0
10,10,655,19.52107572555542,48.34343434343429,2783,0
11,11,641,20.200058221817017,7.737373737373718,2984,0
12,12,647,23.86408305168152,16.62626262626258,2940,0
13,13,648,24.55204486846924,6.121212121212107,2992,0
14,14,642,25.234663486480713,30.363636363636417,2872,0
15,15,629,28.788524866104126,41.474747474747396,2817,0
16,16,631,29.467302560806274,19.454545454545563,2926,0
17,17,640,30.1525399684906,73.59595959595964,2658,0
18,18,618,33.7758150100708,10.363636363636296,2971,0
19,19,629,34.443320751190186,4.1010101010100115,3002,0
20,20,617,35.10360026359558,45.919191919191945,2795,0
21,21,625,38.621208906173706,66.92929292929288,2691,0
22,22,628,39.306509017944336,49.353535353535406,2778,0
23,23,628,39.97798180580139,42.68686868686886,2811,0
24,24,618,40.64274978637695,26.92929292929285,2889,0
25,25,619,44.28033518791199,41.07070707070698,2819,0
26,26,619,44.94025015830994,100.46464646464634,2525,0
27,27,622,45.60292911529541,79.45454545454548,2629,0
28,28,617,49.23628640174866,47.13131313131313,2789,0
29,29,617,49.898613691329956,46.525252525252505,2792,0
30,30,627,50.56716704368591,50.76767676767668,2771,0
31,31,616,54.16895341873169,51.3737373737372,2768,0
32,32,622,54.83503794670105,14.808080808081009,2949,0
33,33,633,55.510188579559326,20.06060606060607,2923,0
34,34,622,56.16771674156189,-20.747474747474527,3125,0
35,35,627,59.76902770996094,45.7171717171716,2796,0
36,36,623,60.427998304367065,53.99999999999998,2755,0
37,37,620,61.08532381057739,82.68686868686882,2613,0
38,38,618,64.70228242874146,-5.595959595959554,3050,0
39,39,619,65.36006140708923,-40.14141414141426,3221,0
40,40,610,66.01015138626099,58.64646464646462,2732,0
41,41,630,69.60639214515686,73.39393939393943,2659,0
42,42,616,70.26029372215271,20.464646464646506,2921,0
43,43,624,70.92338299751282,-1.5555555555556726,3030,0
44,44,618,71.57737231254578,12.181818181818254,2962,0
45,45,627,75.2634665966034,26.323232323232357,2892,0
46,46,613,75.91322064399719,12.585858585858652,2960,0
47,47,632,76.58381128311157,53.191919191919105,2759,0
48,48,619,80.18337059020996,-39.73737373737377,3219,0
49,49,626,80.84457993507385,42.28282828282829,2813,0
50,50,621,81.5015435218811,1.8787878787878256,3013,0
51,51,620,85.1705973148346,21.474747474747325,2916,0
52,52,626,85.83524107933044,50.969696969696834,2770,0
53,53,630,86.50093293190002,25.71717171717176,2895,0
54,54,622,90.21761703491211,29.757575757575758,2875,0
55,55,632,90.8918685913086,-25.191919191919247,3147,0
56,56,616,91.54636883735657,45.313131313131294,2798,0
57,57,620,92.20317077636719,53.7979797979796,2756,0
58,58,624,95.76138734817505,29.3535353535353,2877,0
59,59,626,96.4232087135315,61.67676767676775,2717,0
60,60,629,97.09158444404602,35.81818181818172,2845,0
61,61,623,100.74347615242004,-15.696969696969717,3100,0
62,62,618,101.40080523490906,-17.111111111111285,3107,0
63,63,618,102.05872201919556,58.8484848484848,2731,0
64,64,630,105.7074065208435,-7.212121212121188,3058,0
65,65,622,106.36950182914734,58.04040404040398,2735,0
66,66,629,107.03912305831909,-14.08080808080802,3092,0
67,67,615,107.69244146347046,48.14141414141399,2784,0
68,68,619,111.25895595550537,21.272727272727415,2917,0
69,69,619,111.91841387748718,-14.888888888889014,3096,0
70,70,614,112.572678565979,35.61616161616161,2846,0
71,71,631,116.14316534996033,0.8686868686868152,3018,0
72,72,622,116.80094170570374,50.565656565656596,2772,0
73,73,616,117.45381426811218,-9.838383838383834,3071,0
74,74,623,121.09925508499146,-7.414141414141221,3059,0
75,75,627,121.76423406600952,48.74747474747484,2781,0
76,76,622,122.42400765419006,-1.353535353535272,3029,0
77,77,624,126.06434965133667,49.15151515151504,2779,0
78,78,629,126.7406816482544,34.000000000000064,2854,0
