#{"t_start": 1670581629.1514313, "env_id": "jss-v1"}
r,l,t,episode_makespan
-6.707071,678,3.072621,2991
13.494949,689,3.935441,2891
-15.79798,667,4.657658,3036
9.858586,668,8.408675,2909
-4.282828,678,9.133229,2979
14.30303,674,9.854899,2887
9.656566,661,13.74868,2910
33.69697,664,14.468852,2791
28.646465,677,15.199999,2816
45.818182,654,18.884364,2731
-30.141414,653,19.590105,3107
44.20202,654,20.292944,2739
65.818182,644,23.855188,2632
22.585859,650,24.560474,2846
34.909091,629,25.240749,2785
-27.515152,635,28.973963,3094
64.40404,624,29.643901,2639
-30.141414,645,30.343057,3107
42.787879,623,33.884153,2746
56.727273,633,34.562658,2677
58.545455,636,35.250691,2668
32.686869,629,38.874396,2796
43.79798,627,39.559622,2741
56.525253,629,40.242422,2678
34.909091,628,40.947068,2785
25.414141,630,44.612093,2832
64.606061,628,45.293112,2638
26.828283,624,45.994239,2825
67.030303,626,49.769838,2626
54.10101,625,50.445819,2690
80.363636,628,51.128072,2560
28.646465,618,54.699906,2816
10.060606,613,55.359025,2908
47.232323,613,56.019669,2724
101.171717,620,56.686383,2457
34.30303,619,60.356997,2788
40.161616,617,61.028827,2759
35.717172,617,61.699197,2781
54.909091,625,65.350051,2686
-26.909091,615,66.04472,3091
71.676768,613,66.705988,2603
-22.262626,630,70.362641,3068
59.757576,619,71.027328,2662
44.0,609,71.683484,2740
5.616162,633,72.366938,2930
56.323232,615,76.078606,2679
37.131313,623,76.751737,2774
65.616162,617,77.41521,2633
23.79798,619,81.049052,2840
43.191919,620,81.716486,2744
20.767677,629,82.392169,2855
37.939394,616,86.080653,2770
-82.262626,622,86.748871,3365
27.434343,622,87.419491,2822
57.333333,624,91.055475,2674
2.989899,629,91.737349,2943
46.828283,619,92.404622,2726
63.393939,617,93.070611,2644
-25.090909,621,96.707099,3082
16.525253,624,97.378726,2876
62.383838,622,98.051143,2649
35.717172,628,101.603225,2781
16.121212,621,102.275482,2878
65.414141,629,102.954314,2634
9.656566,623,106.539048,2910
42.585859,634,107.221775,2747
-5.494949,627,107.896201,2985
-5.292929,629,108.576533,2984
19.555556,633,112.303386,2861
44.808081,617,112.974849,2736
56.323232,620,113.64265,2679
14.707071,620,117.238052,2885
32.080808,626,117.915159,2799
38.949495,624,118.588987,2765
9.858586,626,122.270315,2909
39.757576,617,122.938362,2761
61.171717,614,123.601654,2655
68.040404,621,127.302744,2621
47.030303,625,127.981147,2725
-6.505051,616,128.64858,2990
18.949495,625,129.322962,2864
18.949495,617,132.971237,2864
73.090909,632,133.650809,2596
27.232323,626,134.326645,2823
45.212121,618,137.924655,2734
33.292929,628,138.60418,2793
44.808081,628,139.282692,2736
50.868687,627,142.94317,2706
53.292929,611,143.60456,2694
1.575758,620,144.275484,2950
34.30303,637,144.965275,2788
49.050505,611,148.548499,2715
-1.050505,622,149.220922,2963
23.393939,613,149.882708,2842
5.212121,613,153.464791,2932
104.20202,615,154.131591,2442
-43.676768,620,154.802912,3174
-11.555556,616,158.447037,3015
57.939394,622,159.120396,2671
-33.171717,621,159.790573,3122
46.424242,619,163.441259,2728
-24.888889,621,164.122338,3081
50.262626,624,164.795471,2709
33.494949,617,165.462319,2792
50.262626,615,169.161893,2709
28.848485,611,169.824744,2815
36.727273,615,170.491459,2776
-38.626263,617,174.11441,3149
48.444444,608,174.769235,2718
44.40404,610,175.425839,2738
-10.141414,607,179.143102,3008
11.676768,610,179.811223,2900
44.606061,618,180.475667,2737
41.373737,617,181.138465,2753
17.535354,612,184.756053,2871
1.777778,614,185.417485,2949
-9.535354,610,186.074383,3005
25.212121,608,189.735729,2833
24.0,612,190.392148,2839
-6.505051,617,191.055413,2990
-39.838384,616,194.725994,3155
41.373737,611,195.403211,2753
-28.121212,618,196.070375,3097
10.868687,616,196.733367,2904
35.717172,617,200.536196,2781
19.151515,611,201.197344,2863
14.909091,611,201.85823,2884
45.414141,620,205.477554,2733
34.10101,626,206.156254,2789
19.959596,615,206.822377,2859
54.707071,625,210.449119,2687
-23.878788,624,211.131939,3076
10.060606,607,211.787981,2908
42.787879,619,212.457928,2746
29.858586,612,216.073858,2810
-0.444444,616,216.741352,2960
46.828283,621,217.410482,2726
12.282828,617,221.179973,2897
-12.767677,615,221.842934,3021
28.848485,628,222.524967,2815
12.484848,620,226.211323,2896
39.757576,619,226.884524,2761
38.545455,613,227.547228,2767
20.161616,608,228.208603,2858
24.40404,622,231.859182,2837
19.555556,627,232.538869,2861
5.010101,614,233.20845,2933
14.707071,626,236.949756,2885
56.929293,615,237.614474,2676
-5.090909,620,238.282951,2983
5.818182,610,242.020982,2929
42.383838,613,242.685346,2748
43.79798,615,243.34946,2741
-24.888889,607,244.008205,3081
-4.888889,610,247.656026,2982
37.737374,611,248.316734,2771
42.181818,620,248.98878,2749
39.353535,620,252.705614,2763
33.494949,612,253.369907,2792
29.252525,611,254.030526,2813
39.757576,611,257.677475,2761
41.373737,607,258.333286,2753
40.767677,610,258.993782,2756
19.353535,607,259.649488,2862
9.454545,610,263.327166,2911
11.878788,611,263.986788,2899
27.030303,611,264.648448,2824
45.010101,619,268.374003,2735
13.090909,611,269.035429,2893
18.949495,619,269.704668,2864
7.232323,611,273.326925,2922
25.616162,619,274.000026,2831
36.323232,619,274.670242,2778
46.828283,612,275.335182,2726
9.656566,619,279.026084,2910
52.080808,620,279.695367,2700
41.575758,610,280.354707,2752
14.30303,609,283.879397,2887
19.151515,612,284.5437,2863
25.010101,613,285.206277,2834
35.919192,612,288.898625,2780
7.232323,613,289.567504,2922
6.626263,623,290.240811,2925
-10.141414,614,290.905446,3008
35.313131,609,294.527158,2783
66.020202,615,295.191455,2631
-5.494949,615,295.857384,2985
7.636364,615,299.622641,2920
30.868687,610,300.283492,2805
-22.262626,610,300.942929,3068
35.111111,609,304.544685,2784
50.666667,608,305.203862,2707
32.484848,613,305.866544,2797
-35.393939,618,306.533187,3133
-2.868687,609,310.203677,2972
52.686869,605,310.856556,2697
37.535354,607,311.513267,2772
38.141414,605,315.139315,2769
8.444444,611,315.802674,2916
24.0,615,316.467245,2839
16.121212,612,320.216557,2878
58.141414,613,320.897794,2670
7.838384,610,321.555745,2919
-19.030303,614,322.220264,3052
-1.656566,633,325.897793,2966
19.757576,610,326.558919,2860
17.535354,615,327.224926,2871
11.474747,613,330.953526,2901
48.848485,615,331.613921,2716
6.020202,612,332.273799,2928
28.040404,608,335.987658,2819
72.080808,616,336.670228,2601
35.111111,616,337.334565,2784
30.464646,608,337.989571,2807
-33.373737,622,341.577814,3123
12.484848,614,342.239294,2896
-39.838384,623,342.91051,3155
43.191919,616,346.576267,2744
-10.545455,615,347.239754,3010
4.20202,617,347.902894,2937
3.191919,625,351.591238,2942
64.808081,617,352.262532,2637
61.979798,611,352.92467,2651
24.0,623,353.593933,2839
21.575758,616,357.18419,2851
-2.060606,619,357.849934,2968
17.131313,618,358.520489,2873
-25.494949,614,362.219939,3084
47.434343,612,362.877403,2723
8.040404,614,363.541202,2918
40.161616,616,367.175545,2759
-27.919192,605,367.832231,3096
-1.252525,623,368.502345,2964
37.535354,607,369.156376,2772
-55.191919,620,372.829537,3231
25.414141,616,373.491569,2832
14.30303,619,374.157531,2887
-10.747475,611,377.936034,3011
61.575758,612,378.635901,2653
-26.10101,616,379.318012,3087
-6.10101,613,383.003991,2988
21.373737,609,383.669786,2852
18.747475,613,384.333753,2865
10.060606,616,384.997748,2908
4.808081,621,388.560831,2934
4.20202,616,389.226893,2937
-25.090909,621,389.89664,3082
-41.656566,624,393.581887,3164
15.313131,619,394.252899,2882
12.484848,627,394.933789,2896
23.191919,616,398.567133,2843
-24.484848,620,399.239211,3079
-6.10101,615,399.904884,2988
39.151515,614,400.568141,2764
-18.626263,616,404.222443,3050
-8.929293,617,404.889338,3002
-3.676768,622,405.560099,2976
40.565657,610,409.114206,2757
36.121212,612,409.776814,2779
41.171717,622,410.447294,2754
32.282828,616,414.058898,2798
-13.575758,610,414.722406,3025
29.454545,610,415.38326,2812
7.434343,611,416.04299,2921
22.585859,615,419.634352,2846
24.808081,613,420.29546,2835
34.707071,615,420.955664,2786
26.020202,612,424.561564,2829
6.626263,618,425.228328,2925
19.353535,606,425.883732,2862
-4.888889,613,429.682904,2982
18.343434,616,430.350458,2867
-39.030303,619,431.021037,3151
39.353535,615,431.685138,2763
2.585859,626,435.270389,2945
15.313131,609,435.929102,2882
38.949495,616,436.594933,2765
42.585859,610,440.223173,2747
17.939394,612,440.884959,2869
51.474747,612,441.546664,2703
14.909091,611,445.102582,2884
32.686869,614,445.767249,2796
55.919192,613,446.429638,2681
43.191919,612,447.092668,2744
41.979798,610,450.701684,2750
-46.505051,612,451.363511,3188
5.616162,612,452.024911,2930
30.262626,618,455.764627,2808
62.787879,610,456.426687,2647
19.959596,607,457.082035,2859
38.141414,607,460.841569,2769
36.525253,610,461.503852,2777
39.555556,607,462.159723,2762
20.161616,605,462.814041,2858
4.808081,603,466.446158,2934
7.434343,607,467.103273,2921
15.919192,604,467.755455,2879
31.474747,604,471.373742,2802
30.262626,609,472.033498,2808
38.343434,604,472.688461,2768
45.414141,605,473.34953,2733
52.282828,604,477.023107,2699
33.69697,607,477.679127,2791
42.181818,604,478.333589,2749
-28.323232,606,482.050884,3098
33.292929,611,482.714016,2793
38.545455,605,483.36867,2767
69.050505,606,486.995007,2616
36.727273,604,487.647974,2776
-5.494949,601,488.29928,2985
27.636364,608,488.958861,2821
40.363636,622,492.541776,2758
59.757576,605,493.196935,2662
13.89899,606,493.85315,2889
14.10101,604,497.421753,2888
8.444444,603,498.073641,2916
7.434343,605,498.728826,2921
-9.737374,604,502.398123,3006
8.444444,605,503.060583,2916
16.929293,607,503.716244,2874
33.292929,606,504.372042,2793
46.222222,601,507.960718,2729
36.929293,601,508.611272,2775
43.59596,606,509.267053,2742
17.131313,605,512.863246,2873
-4.080808,605,513.516754,2978
36.323232,603,514.169201,2778
52.282828,603,514.822608,2699
45.010101,604,518.46769,2735
24.0,602,519.121193,2839
53.69697,604,519.774747,2692
32.484848,607,523.320862,2797
29.656566,603,523.977862,2811
26.828283,610,524.637935,2825
52.282828,606,528.330773,2699
32.686869,607,528.991085,2796
21.979798,601,529.641424,2849
49.656566,601,530.292678,2712
